Date,eps,sps,prof_mar,roic,ninc,gmar,cfo,cf,sg
1990-03-31,,,,,,,,,
1990-04-30,-0.0792735896690362,-0.03411923963072553,0.11453154544964103,,0.4980033674548568,,,,-0.4846304191062427
1990-05-31,0.007391620354699051,-0.38818697016131204,0.12790876390544667,,0.3466535471649714,,,,0.4829942847959721
1990-06-30,0.5865886393576394,0.2818368560033544,0.17731929274419359,,0.24349178498584514,,,,0.28889531955634085
1990-07-31,0.14816000122487116,-0.6672003174504151,0.12740568432167562,-0.1024403531947596,-0.02505819881978892,,,-0.08427765181853647,0.012584412718502528
1990-08-31,-0.3979057487443473,-0.19400327889809402,0.2201213657857105,0.3752979063532801,0.5471783493903458,,,-0.032776501840878325,0.026838263442388408
1990-09-30,0.17613538088695294,-0.590857490334034,0.1600876994843849,-0.5209309432629484,-0.005594728850645197,,,-0.3863255611370042,-0.07370187069524595
1990-10-31,0.4830862968295898,0.02424268291747179,0.14241221090803285,0.18781114781578254,0.2412764659240626,,,0.10985537327495125,-0.013576794919431432
1990-11-30,0.15499801342105657,0.3424353879145038,0.05743571766623777,0.21139026345027287,0.11454952556376899,,,-0.07914467908963793,0.4028049881966897
1990-12-31,-0.316434879138584,0.10702827373531049,-0.011992567002214578,0.16811129697661825,-0.03984030230003756,,,0.06264793686905192,0.014362173562548344
1991-01-31,0.14664835443319,0.0835456045484981,-0.31222442289936253,0.12271814049909692,-0.09712256765038742,,,0.044381441578421985,-0.030654696915746887
1991-02-28,0.13075242712192037,-0.07841543387425415,-0.011663618856496843,0.048988813501104726,0.11851860675077727,,,-0.15993438230148954,0.11957283352683128
1991-03-31,0.24013137339889687,0.1608399594715596,-0.004256302363603829,0.28523519938969705,-0.11315621633138959,,,0.11295784210233432,0.05890718464025931
1991-04-30,0.3245266571487044,0.0738653106297404,0.12658768765210474,-0.06617746357268464,0.16130790272874407,,,-0.007638602427941656,0.03694316821520767
1991-05-31,-0.17701324035027136,0.381761005290145,-0.10234388426897433,-0.10591169152421472,0.0012971007251613034,,,0.0813480912207525,-0.16650887441340215
1991-06-30,-0.2936904395572951,0.07529501544865186,0.023411687089727587,0.07799504209667898,-0.04406068880867993,,,-0.05858347819617801,-0.12961422552056504
1991-07-31,-0.12889650224021829,-0.3411256892408155,0.15992580990482966,0.152782087586615,0.05662102047202826,,,-0.02399303632875997,-0.015888916533623874
1991-08-31,0.7353128250502275,0.5305069581808067,-0.07640419218082758,0.0655961337784895,-0.3511957232022963,,,0.0740338796992794,-0.12702160427856232
1991-09-30,-0.48079124084859,-0.45721901686522587,0.1601798691148592,0.041562675396669614,0.15608077959747071,,,0.07853399852730736,0.05140877795661343
1991-10-31,0.31719625198698537,0.3225332948941761,0.026656242194799992,0.09266289625084734,0.029612260718562742,,,0.07791952451666005,-0.045874951130649474
1991-11-30,0.5519808688232869,0.41990320381564666,0.21878710711590524,0.2466308930210249,0.14115115211719495,,,0.0210555437911597,0.08503337901600491
1991-12-31,0.70408528870122,0.6942942448090449,0.06373608320419465,0.2455127321038699,0.07722886711580508,,,-0.02078168084163786,0.15409501503204068
1992-01-31,-0.05785844758036586,0.6300652298296396,-0.04073199424016989,-0.20986954124779264,0.0384614079603465,,,0.0682691342358242,-0.04717444589834487
1992-02-29,-0.19904617457720278,0.45520265007969146,-0.049530169511823055,-0.18507717090079587,0.040207484151857736,,,0.04568109513200445,-0.04628288121557243
1992-03-31,-0.295246375221373,-0.5114378551797161,0.0014825304059090084,-0.12245614108533379,0.036144390724858436,,,-0.08761342150762688,-0.1289661861357066
1992-04-30,-0.5021644215551769,-0.8573035622935063,-0.24214001272324379,-0.20391586421909166,-0.18147724817901922,,,-0.11848244407978671,-0.22625963986686856
1992-05-31,-0.4062724726923782,-0.42880216352602263,0.0162621111547902,-0.04985429768286208,0.020304936977101635,,,0.10550375182668378,0.06722302645752745
1992-06-30,0.34465270318745433,-0.28018048528858747,0.08961842670751431,0.11695575643070404,-0.027026137238074423,,,0.07322579091879693,0.00899289784724849
1992-07-31,0.2413586938409067,0.4445740781432576,-0.006752402077973638,0.01969923891159042,0.08424235605538231,,,-0.0003665835307539399,0.06664681783822787
1992-08-31,0.2630475541301895,0.07638354404593066,0.10782614997468304,0.1962597020847716,-0.1267460576119179,,,0.05460059987903115,-0.0010207799728137006
1992-09-30,0.09229985498564171,0.41908867101634456,-0.006657500337908215,-0.04573441612572067,-0.06900094776692911,,,-0.25364459729645095,0.07825192445020455
1992-10-31,0.133495656549283,0.21998073244576918,-0.03729485287372857,0.23672040558262863,0.04389177833240313,,,-0.01596049899359132,0.1597477541636057
1992-11-30,-0.28973180961243195,0.12093540038726142,0.03756870579380251,-0.019444777266968562,0.10180212647820217,,,0.034955710706252724,0.1415570031950968
1992-12-31,0.5429041360055252,0.7116164349717993,0.026885604915393185,-0.0011595575873192656,-0.04331851386643883,,,0.07156810390357782,-0.08156989552463408
1993-01-31,0.08214424344756234,0.5105740417798114,-0.008840489521600868,-0.1637394132288887,-0.08750474416196656,,,0.11879483278521083,0.0805263521018136
1993-02-28,-0.09988235517760234,0.1493266082545633,-0.13947279809384916,-0.0956969970829189,-0.10227317980437582,,,-0.012235712268168431,-0.14903472499565676
1993-03-31,-0.30083511754638215,-0.4781268636629557,-0.05889523504192457,0.036755419450974616,0.05048215408523551,,,-0.0029328635667807603,-0.13369898605018637
1993-04-30,-0.7070293014233671,-0.5287770851519401,0.08043356417347765,0.00955498015009791,0.007116545932769664,,,-0.0474961738788008,-0.07912162136667676
