,0,1,2,3,4,5,6,7
1990-02-28,,,,2.719298245614035,,,,4.0
1990-03-31,,,4.6627826602152656,2.2105263157894735,,,4.666666666666666,6.0
1990-04-30,,,1.4999999999999996,2.5999999999999996,,,2.6666666666666665,2.0
1990-05-31,,,0.9523809523809528,2.761904761904762,,,2.5,3.9999999999999996
1990-06-30,,,1.0476190476190474,2.6666666666666665,,,3.6000000000000005,3.2
1990-07-31,,,2.6666666666666665,3.0476190476190474,,,3.6000000000000005,2.4000000000000004
1990-08-31,,,0.7619047619047619,2.8571428571428568,,,0.8,2.0
1990-09-30,,,2.6666666666666665,3.333333333333333,,,4.444444444444445,6.444444444444445
1990-10-31,0.38095238095238093,,1.333333333333333,2.666666666666666,0.8888888888888888,,2.4444444444444446,3.7777777777777777
1990-11-30,0.19047619047619047,,1.0476190476190474,2.095238095238095,0.4444444444444444,,2.444444444444444,3.5555555555555554
1990-12-31,3.904761904761904,,2.761904761904762,2.095238095238095,5.941520467836257,,6.040935672514619,5.619883040935672
1991-01-31,0.38095238095238104,,0.9523809523809523,2.8571428571428568,0.9473684210526315,,1.8947368421052628,3.263157894736842
1991-02-28,0.2857142857142857,,0.7619047619047619,3.714285714285714,0.42105263157894735,,1.3684210526315788,3.5789473684210527
1991-03-31,4.761904761904761,,1.238095238095238,2.2857142857142856,4.842105263157895,,2.4210526315789473,3.3684210526315788
1991-04-30,0.9090909090909087,,0.9090909090909088,2.8181818181818175,0.7368421052631579,,1.157894736842105,2.526315789473684
1991-05-31,0.6363636363636364,,0.5454545454545454,2.2727272727272725,0.42105263157894735,,1.1578947368421053,2.8421052631578947
1991-06-30,2.454545454545454,,0.8181818181818181,2.545454545454546,3.473684210526316,,2.2105263157894735,2.631578947368421
1991-07-31,0.36363636363636365,0.4545454545454546,1.0909090909090908,2.909090909090909,0.631578947368421,0.42105263157894735,1.6842105263157894,2.9473684210526314
1991-08-31,0.5454545454545454,0.45454545454545453,0.7272727272727273,3.2727272727272725,0.631578947368421,0.42105263157894735,1.263157894736842,3.1578947368421053
1991-09-30,2.4690909090909092,2.090909090909091,1.5454545454545456,2.3636363636363633,2.736842105263158,2.947368421052632,2.3157894736842106,2.7368421052631575
1991-10-31,0.6145454545454545,0.6363636363636364,0.5454545454545454,3.090909090909091,0.21052631578947367,0.3157894736842105,1.3684210526315788,2.947368421052632
1991-11-30,0.7193675889328064,0.18181818181818182,0.45454545454545453,2.909090909090909,0.7368421052631579,0.8421052631578947,1.894736842105263,3.4736842105263155
1991-12-31,3.7272727272727266,2.5454545454545454,1.6363636363636362,2.090909090909091,4.5,3.6999999999999993,2.6999999999999997,2.9999999999999996
1992-01-31,0.43478260869565233,0.6086956521739133,1.0434782608695654,2.4347826086956523,0.9000000000000001,0.8,1.9000000000000001,3.1
1992-02-29,0.43478260869565216,0.2608695652173913,0.6956521739130435,2.1739130434782608,0.5,0.5,1.2000000000000002,2.6
1992-03-31,3.6521739130434785,2.1739130434782608,1.2173913043478262,1.7391304347826089,3.8,2.4000000000000004,2.2,2.3000000000000003
1992-04-30,0.34782608695652173,0.6956521739130435,1.4782608695652173,2.434782608695652,0.4,0.5,1.4000000000000001,3.4000000000000004
1992-05-31,0.41666666666666674,0.5,0.8333333333333335,3.5,0.0,0.7,1.3000000000000003,2.8
