,growth_size,quality_size,value_size,mom_size,growth_value,quality_value,size_value,mom_value
t-stat,0.2561610369137297,0.13896754363628275,0.06528974911177991,-1.9225997193848956,-1.3468266237183337,-2.204183476439595,2.964575189296418,-1.0152758225586789
p-value,0.7979044249219596,0.8895183169717463,0.9479621061567898,0.05493931966152013,0.17848741818714836,0.027856902645954786,0.003134908963198883,0.3103281827846633
