tic,Gsector,Gind,Gsubind
ASN,40,404020,40402050
PVT.,40,403010,40301020
NCE.1,55,551010,55101010
CIN2,55,551010,55101010
PEG,55,551030,55103010
OAT.,30,302020,30202030
STR,55,551020,55102010
RACM.CM,30,302020,30202030
RYC.,20,201040,20104010
RTN,20,201010,20101010
RBK,25,252030,25203020
HBC2,40,401010,40101010
AN,25,255040,25504050
NGH.2,30,302020,30202030
RLM.1,15,151040,15104010
RAD,30,301010,30101010
CBB.1,20,203040,20304020
FRO.1,50,501010,50101020
ROK,20,201040,20104010
ROH,15,151010,15101050
SKLNQ,20,202010,20201050
ROL,20,202010,20201050
RDC,10,101010,10101010
RDPL,10,101020,10102010
RBD,25,252010,25201050
RML.1,25,252030,25203010
R,20,203040,20304020
SAF,40,403010,40301040
SK.1,20,202010,20201050
SWY,30,301010,30101030
STJ,35,351010,35101010
SPC.2,40,403010,40301040
SFS.1,10,101020,10102020
SFX.2,20,203040,20304010
HSH,30,302020,30202030
SCG,55,551030,55103010
SGP,35,352020,35202010
SLB,10,101010,10101020
SFA.1,45,452010,45201020
SPP.3,30,303010,30301010
SEG.2,45,452020,45202020
VO.3,25,254010,25401030
SEE,15,151030,15103020
SPW.2,25,251010,25101010
S.1,25,255030,25503010
7448B,40,401010,40101010
SCI,25,253020,25302020
SHW,15,151010,15101050
SIAL,15,151010,15101050
AOS,20,201020,20102010
SII,10,101010,10101020
SJM,30,302020,30202030
SNA,20,201060,20106020
KEY,40,401010,40101015
SNT.1,55,551020,55102010
EIX,55,551010,55101010
SO,55,551010,55101010
SOTR,40,401010,40101015
LUV,20,203020,20302010
T,50,501010,50101020
SWN,10,101020,10102020
SMI.1,25,252010,25201020
SQD.1,20,201040,20104010
SWK,20,201060,20106020
STT,40,402030,40203010
STO.3,15,151030,15103020
SRR,25,252030,25203020
SYK,35,351010,35101010
NAVI,40,402020,40202010
SUN.1,10,101020,10102030
STI,40,401010,40101015
SVU,30,301010,30101030
SBL.2,45,452030,45203010
SYN.1,35,352020,35202010
SYY,30,301010,30101020
TE,55,551030,55103010
TRW.1,25,251010,25101010
RSHCQ,25,255040,25504020
TEK.1,45,452030,45203010
TCOMA,25,254010,25401020
ATI,15,151040,15104050
TFX,35,351010,35101010
TLAB,45,452010,45201020
TIN,15,151030,15103020
TEN,25,251010,25101010
TER,45,453010,45301010
ANDV,10,101020,10102030
TX.2,10,101020,10102010
TXN,45,453010,45301020
0033A,55,551050,55105010
TXT,20,201010,20101010
TMO,35,352030,35203010
TNB,20,201040,20104010
TWX.1,25,254010,25401030
TMC,25,254010,25401040
TKR,20,201060,20106020
TMK,40,403010,40301020
TOS.1,10,101020,10102030
TSS,45,451020,45102020
1231B,25,255040,25504040
TA.1,40,403010,40301020
E.2,55,551020,55102010
TIC.1,40,403010,40301040
TRCO,25,254010,25401020
TYC,20,202010,20201080
TSN,30,302020,30202030
UAL,20,203020,20302010
FG.1,40,403010,40301040
USG,20,201020,20102010
UN,30,303020,30302010
UCC.2,15,151030,15103020
DOW2,15,151010,15101020
AEE,55,551030,55103010
UNP,20,203040,20304010
UPC.,40,401010,40101015
SUB.2,40,401010,40101010
UPS,20,203010,20301010
USBC.,40,401010,40101010
3UAIRQ,20,203020,20302010
MROX.CM,10,101020,10102030
UST.1,30,302030,30203010
UTX,20,201010,20101010
S,50,501020,50102010
UHS,35,351020,35102020
UCL,10,101020,10102020
PNU.1,35,352020,35202010
USH.1,40,403010,40301020
VFC,25,252030,25203010
VAR,35,351010,35101010
RATL,45,451030,45103010
VNO,60,601010,60101040
VMC,15,151020,15102010
WB.1,40,401010,40101010
WBA,30,301010,30101010
WANG,45,452020,45202010
WLA,35,352020,35202010
GHC,25,253020,25302010
WMX,20,202010,20201050
WFC.Z,40,401010,40101010
WEN.2,25,253010,25301040
WDC,45,452020,45202030
CBS.2,25,254010,25401020
MWV,15,151030,15103020
WETT,30,301010,30101020
WY,60,601010,60101080
WHR,25,252010,25201040
WLL.1,15,151050,15105020
WMB,10,101020,10102040
WINN,30,301010,30101030
WEC,55,551030,55103010
LNT,55,551010,55101010
WEC3,55,551030,55103010
FL,25,255040,25504010
WOR,15,151040,15104050
WWY,30,302020,30202030
XRX,45,452020,45202030
YRCW,20,203040,20304020
TJX,25,255040,25504010
ZE,25,252010,25201010
ZION,40,401010,40101015
ZRN,20,201030,20103010
BBT,40,401010,40101015
NOVL,45,451030,45103020
APC,10,101020,10102020
NE,10,101010,10101010
BMG.1,15,151040,15104030
CYM.1,15,151040,15104020
EMC,45,452020,45202030
BIG,25,255030,25503020
MS,40,402030,40203020
JAVA,45,452020,45202010
TROW,40,402030,40203010
ORCL,45,451030,45103020
0139A,45,451020,45102020
COTY,30,303020,30302010
DTV.2,25,254010,25401025
GENZ,35,352010,35201010
HOG,25,251020,25102020
IT,45,451020,45102010
ATUS,25,254010,25401025
ADBE,45,451030,45103010
CNO,40,403010,40301020
SGICQ,45,452020,45202010
FMY.1,30,301010,30101030
KBH,25,252010,25201030
UNM,40,403010,40301020
HAR,25,252010,25201010
CERN,35,351030,35103010
ARG,15,151010,15101040
KRFT,30,302020,30202030
JOY,20,201060,20106010
PMI.2,40,403010,40301040
SNV,40,401010,40101015
3FTLAQ,25,252030,25203010
FSH.2,35,352030,35203010
PGR,40,403010,40301040
BRL,35,352020,35202010
CDNS,45,451030,45103010
LVLT,50,501010,50101010
CCL,25,253010,25301020
MBI,40,403010,40301040
CELG,35,352010,35201010
MCAWA,50,501020,50102010
TIF,25,255040,25504040
XRAY,35,351010,35101020
CBS,25,254010,25401020
ZTS,35,352020,35202010
SCHW,40,402030,40203020
MXIM,45,453010,45301020
FRC,40,401010,40101015
APH,45,452030,45203015
ALTR.1,45,453010,45301020
PXD,10,101020,10102020
MGM,25,253010,25301010
ADT.4,20,202010,20201080
WM,20,202010,20201050
SSP,25,254010,25401020
APCC.,20,201040,20104010
FCX,15,151040,15104025
NVLS.1,45,453010,45301010
ODP,25,255040,25504040
BMC,45,451030,45103020
CINF,40,403010,40301040
ORX,10,101020,10102020
DVN,10,101020,10102020
LH,35,351020,35102015
BR.2,10,101020,10102020
NFB,40,401010,40101015
FMCC,40,401020,40102010
VLO,10,101020,10102030
ETS,45,452010,45201020
MII.3,15,151010,15101050
SIG,25,255040,25504040
SPLS,25,255040,25504040
AGN.2,35,352020,35202010
PCL,40,404020,40402070
ABBV,35,352010,35201010
WAMUQ,40,401020,40102010
PBCT,40,401010,40101015
GIDL,20,201060,20106020
EOG,10,101020,10102020
CF.6,40,401010,40101015
SLR,45,452030,45203020
STD2,40,401010,40101015
IQV,35,352030,35203010
NWSA,25,254010,25401040
MNK,35,352020,35202010
PTC,45,451030,45103010
KEYS,45,452030,45203010
CZR,25,253010,25301010
COG,10,101020,10102020
CSCO,45,452010,45201020
HOLX,35,351010,35101010
CFG,40,401010,40101015
AW,20,202010,20201050
BXLT,35,352010,35201010
BJS.1,10,101010,10101020
KRB,40,402020,40202010
PT.1,30,302020,30202030
AZO,25,255040,25504050
REGN,35,352010,35201010
CPGX,10,101020,10102040
CVH,35,351020,35102030
PMCS,45,453010,45301020
CEPH,35,352010,35201010
X,15,151040,15104050
JNY,25,252030,25203010
IDXX,35,351010,35101010
AES,55,551050,55105010
AMBC,40,403010,40301040
XL,40,403010,40301040
MTG,40,401020,40102010
BIIB,35,352010,35201010
HCR,35,351020,35102020
PRGO,35,352020,35202010
VTSS,45,453010,45301020
WFM,30,301010,30101030
ROP,20,201050,20105010
TWX,25,254010,25401030
MHK,25,252010,25201020
FDC,45,451020,45102020
BSX,35,351010,35101010
KSS,25,255030,25503010
BBBY,25,255040,25504060
ESRX,35,351020,35102015
DYN,55,551050,55105010
CPWR.1,45,451030,45103010
HPE,45,452020,45202030
CSRA,45,451020,45102010
FTV,20,201060,20106020
VSM,45,453010,45301010
NGVT,15,151010,15101050
ADNT,25,251010,25101010
AA,15,151040,15104010
WLP.1,35,351020,35102030
CHK,10,101020,10102020
AGN,35,352020,35202010
DWD,40,402010,40201020
HUM,35,351020,35102030
INTU,45,451030,45103010
MCHP,45,453010,45301020
CB,40,403010,40301040
ASIX,15,151010,15101010
GGP,60,601010,60101070
SANM,45,452030,45203020
ORLY,25,255040,25504050
ARNC,20,201010,20101010
JBL,45,452030,45203020
XTO,10,101020,10102020
RIG,10,101010,10101010
ALL,40,403010,40301040
FLIR,45,452030,45203010
BCO,20,202010,20201080
RAL.,30,302020,30202030
CNDT,45,451020,45102020
BWA,25,251010,25101010
LW,30,302020,30202030
KDP,30,302010,30201030
MAR,25,253010,25301020
MERQ,45,451030,45103010
INCY,35,352010,35201010
URBN,25,255040,25504010
NFX,10,101020,10102020
VIAV,45,452010,45201020
ATI.1,50,501020,50102010
SPG,60,601010,60101070
EMN,15,151010,15101020
MLM,15,151020,15102010
ALB,15,151010,15101050
IVZ,40,402030,40203010
WRK,15,151030,15103020
WAI.1,10,101010,10101020
AKS,15,151040,15104050
PLD,60,601010,60101020
LEHMQ,40,402030,40203020
GLD.2,15,151040,15104030
CSE.3,20,201060,20106010
ACS,45,451020,45102020
O,60,601010,60101070
DUK6,55,551010,55101010
FTI,10,101010,10101020
COF,40,402020,40202010
GDT,35,351010,35101010
CMX.1,35,351020,35102015
ABC,35,351020,35102010
BHF,40,403010,40301020
DLPH,25,251010,25101010
DRI,25,253010,25301040
BHGE,10,101010,10101020
APY,10,101010,10101020
CAM,10,101010,10101020
WAB,20,201060,20106010
SUNEQ,45,453010,45301010
RE,40,403010,40301050
DO,10,101010,10101010
UPR.1,10,101020,10102020
UMG.Z,25,254010,25401020
Q.2,50,501010,50101020
LXK,45,452020,45202030
EL,30,303020,30302010
WAT,35,352030,35203010
NTAP,45,452020,45202030
ITT.1,25,253010,25301020
HIG,40,403010,40301030
ALXN,35,352010,35201010
LU,45,452010,45201020
DF,30,302020,30202030
TRV,40,403010,40301040
TUP,25,252010,25201050
TIE,15,151040,15104020
CPN,55,551050,55105010
TSG.2,45,451020,45102020
IMS,35,351030,35103010
NOV,10,101010,10101020
DGX,35,351020,35102015
KMX,25,255040,25504050
ARE,60,601010,60101040
QRVO,45,453010,45301020
RL,25,252030,25203010
YUM,25,253010,25301040
PWER,45,452030,45203015
MTD,35,352030,35203010
NLSN,20,202020,20202020
NCLH,25,253010,25301020
YNR.1,25,254010,25401010
LLL,20,201010,20101010
KG,35,352020,35202010
RSG,20,202010,20201050
CVG,45,451020,45102020
CCI,60,601010,60101080
GLBC,50,501010,50101010
COC1,10,101020,10102010
GS,40,402030,40203020
PCS.1,50,501020,50102010
CNXT.1,45,453010,45301020
APTV,25,251010,25101010
LIFE.3,35,352030,35203010
PBG,30,302010,30201030
CNX,10,101020,10102020
RAI,30,302030,30203010
SBAC,60,601010,60101080
HCBK,40,401020,40102010
BLK,40,402030,40203010
PTV,15,151030,15103010
CHTR,25,254010,25401025
A,35,352030,35203010
JHF,40,403010,40301020
PKG,15,151030,15103020
EW,35,351010,35101010
MET,40,403010,40301020
FTR,50,501010,50101020
NRG,55,551050,55105010
VC,25,251010,25101010
5933B,45,452010,45201020
MCO,40,402030,40203040
GEN.3,55,551050,55105010
TPR,25,252030,25203010
MON,15,151010,15101030
MEE,10,101020,10102050
GPN,45,451020,45102020
BTU,10,101020,10102050
FTI.1,10,101010,10101020
MDLZ,30,302020,30202030
PRU,40,403010,40301020
ACN,45,451020,45102010
WLTW,40,403010,40301010
COL,20,201010,20101010
ZBH,35,351010,35101010
ANTM,35,351020,35102030
PFG,40,403010,40301020
AAP,25,255040,25504050
AYI,20,201040,20104010
LO,30,302030,30203010
TDG,20,201010,20101010
LIN,25,254010,25401020
CME,40,402030,40203040
NDAQ,40,402030,40203040
CIT,40,401010,40101015
STX,45,452020,45202030
QEP,10,101020,10102020
LKQ,25,255010,25501010
AIZ,40,403010,40301030
BX1,45,453010,45301020
GNW,40,403010,40301020
MA,45,451020,45102020
HSP,35,352020,35202010
MOS,15,151010,15101030
CE,15,151010,15101050
ANRZQ,10,101020,10102050
INFO,20,202020,20202020
ICE,40,402030,40203040
CF,15,151010,15101030
AMP,40,402030,40203010
LDOS,45,451020,45102010
VIAB,25,254010,25401030
FIS,45,451020,45102020
NYX,40,402010,40201040
PSX,10,101020,10102030
RLGY,60,601020,60102040
WYND,25,253010,25301020
WU,45,451020,45102020
HBI,25,252030,25203010
SE.7,10,101020,10102040
TWC,25,254010,25401025
BR,45,451020,45102020
COV,35,351010,35101010
TEL,45,452030,45203020
DFS,40,402020,40202010
TDC,45,451020,45102010
MSCI,40,402030,40203040
AWK,55,551040,55104010
V,45,451020,45102020
PM,30,302030,30203010
DPS,30,302010,30201030
SNI,25,254010,25401020
VRSK,20,202020,20202020
AVGO,45,453010,45301020
MJN,30,302020,30202030
MMI.3,45,452010,45201020
HII,20,201010,20101010
MPC,10,101020,10102030
FBHS,20,201020,20102010
XYL,20,201060,20106020
CBRE,60,601020,60102040
LYB,15,151010,15101010
ALLE,20,201020,20102010
NVT,20,201040,20104010
