,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
p,0.08298456510584139,0.4932533913295083,0.5350127822042999,0.6126527129048632,0.5581212405269848,0.37155137384199144,0.016215255568436032,0.2846552120961537,0.696414675401654,0.1570866646770496,0.4491659829308666,0.8779186527807373,0.2841746925270907,0.6022557561345665,0.5576468888333832,0.43601252348771713,0.3496839849853597,0.8530209220699267
significance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
