,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
p,0.27069187294276054,0.5165009347449349,0.8494162552205665,0.7417423037392816,0.08211986816245752,0.9454305764287584,0.9824298700312939,0.7687562376118473,0.03803426640829867,0.5813441326725991,0.5456410399039789,0.5779489146515817,0.8293758255766632,0.2777968677481606,0.9030397509126713,0.9260734520315974,0.904575895179259,0.4129644003456632
significance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
