DNR US Equity
STR US Equity
S.1 US Equity
NI US Equity
KRFT US Equity
AKS US Equity
BBVA1 US Equity
LKQ US Equity
HRL US Equity
COMS US Equity
AVGO US Equity
GLW US Equity
TIN US Equity
SCI US Equity
CCTYQ US Equity
MDLZ US Equity
TRIP US Equity
NEU US Equity
FLTWQ US Equity
PHM US Equity
DHR US Equity
WMT US Equity
ALTR.1 US Equity
ORLY US Equity
AABA US Equity
DVN US Equity
GILD US Equity
HP US Equity
PH US Equity
PHA.1 US Equity
MU US Equity
HBOC.1 US Equity
DYN US Equity
VTR US Equity
TCOMA US Equity
USH.1 US Equity
PD.1 US Equity
ABC US Equity
GOLD US Equity
BK US Equity
ISRG US Equity
FFB US Equity
BHI US Equity
SPLS US Equity
CHK US Equity
GIDL US Equity
WETT US Equity
NOV US Equity
EL US Equity
GPS US Equity
FITB US Equity
CCEP US Equity
PGN3 US Equity
HCR US Equity
PDCO US Equity
ORX US Equity
NFLX US Equity
WRK US Equity
VIAB US Equity
TFX US Equity
IP US Equity
DEC.1 US Equity
BNL.1 US Equity
0033A US Equity
HRB US Equity
MFE US Equity
AAP US Equity
G.1 US Equity
CA US Equity
CPN US Equity
BF.B US Equity
FTI US Equity
CHRW US Equity
1231B US Equity
SIVB US Equity
ADM US Equity
AVATQ US Equity
APA US Equity
DI. US Equity
SLB US Equity
COF US Equity
ACY.1 US Equity
BMG.1 US Equity
AN US Equity
KEY US Equity
TRW.1 US Equity
MERQ US Equity
PM US Equity
MON US Equity
JBL US Equity
LM US Equity
PLL.1 US Equity
GCO US Equity
CB US Equity
AMT US Equity
ZE US Equity
AMCC US Equity
CBS US Equity
C2 US Equity
PAS US Equity
AA.3 US Equity
LEN US Equity
TIE US Equity
CSE.3 US Equity
ATO US Equity
BRCM US Equity
BA US Equity
DUK8 US Equity
BTU US Equity
WAMUQ US Equity
ADP US Equity
CRR.3 US Equity
SAPE US Equity
CNC US Equity
UHS US Equity
IMNX US Equity
MCAWA US Equity
QEP US Equity
LEHMQ US Equity
CLF US Equity
LINB US Equity
GEB.1 US Equity
SFS.1 US Equity
HCP US Equity
MBI US Equity
DISH US Equity
SHW US Equity
GE US Equity
BNSSA US Equity
NCE.1 US Equity
FFIV US Equity
HSP US Equity
WFM US Equity
ALLE US Equity
CPB US Equity
HAS US Equity
SPGI US Equity
FL US Equity
RAD US Equity
LUB US Equity
GLD.2 US Equity
CMX.1 US Equity
MCD US Equity
ROL US Equity
IPG US Equity
LLY US Equity
FBF US Equity
DFS US Equity
MTW US Equity
NVT US Equity
3PNAA. US Equity
CMS US Equity
BCO US Equity
PWJ. US Equity
OKE US Equity
HD US Equity
FDX US Equity
EOP US Equity
GT US Equity
DIGI.1 US Equity
WU US Equity
RACM.CM US Equity
UPS US Equity
EQ.2 US Equity
MCHP US Equity
EXC US Equity
HLT US Equity
TIF US Equity
LSI.1 US Equity
EA US Equity
LOTS. US Equity
FMC US Equity
CNP US Equity
AES US Equity
ARE US Equity
MNR.1 US Equity
INCY US Equity
ECH.1 US Equity
WWY US Equity
JNS US Equity
WYND US Equity
ALK US Equity
CPRI US Equity
XL US Equity
PCH US Equity
CF.6 US Equity
TFCFA US Equity
CBOE US Equity
SPP.3 US Equity
ODP US Equity
EME US Equity
PSFT. US Equity
IBM US Equity
GFS.A US Equity
MST. US Equity
FNB. US Equity
TER US Equity
CHIR.1 US Equity
ITW US Equity
