Date,0033A,0141A,3ACKH,3BHMSQ,3PNAA.,4622B,9975B,AA.3,AAL,ABI.3,ABT,ACV.1,ACY.1,AEP,AHM.1,AL.1,AMP.2,AMT.1,AMX.2,AN.2,ANV.1,AR.2,ARC.3,AS.,AVATQ,AVP,AXP,BA,BAX,BC,BCR,BDK,BDX,BEAM,BFI.,BFO.2,BGG,BHI,BMY,BNL.1,BNSSA,BRK3,BWY.1,C.3,C2,CAL,CAT,CBE,CBS.1,CBS.2,CCB.2,CCK,CEG,CEM.2,CHA.3,CI,CKL,CL,CLX,CMI,COP,CPB,CR,CSR.1,CSX,CUE.1,CVS,CVX,D,D2,DAL,DAN,DD,DE,DEC.1,DI.,DOW2,DTE,DWDP,ECH.1,ED,EFU.1,EIX,EMR,ENRNQ,ETN,ETR,EXC,F,FBNIQ,FBO,FE,FJCC,FL,FLTWQ,FMC,FWLT,G.1,GAPTQ,GCO,GD,GE,GEB.1,GIS,GLW,GM,GP.1,GPC,GQ.1,GR,GRA,GT,GTE.1,GWF.,GWOW,HAL,HBC1,HBJ,HDLM,HIA.1,HLT,HM,HON,HON.Z,HPC,HPQ,HST,HSY,IBM,IFF,IK,INCLF,IP,IR,ITT,JCP,JNJ,K,KHC,KMB,KO,KODK,KR,KRI,LCE,LLX.,LLY,LPX,MAY.2,MCA.1,MCD,MD.1,MDP,MDR,MEA.1,MKG,ML.3,MMM,MO,MOB.2,MRK,MROX.CM,MSI,MWV,MYG.1,MZIAQ,NAV,NC,NCR,NEM,NI2,NL,NMK,NSC,OAT.,OC,OKE,OMX,PAS,PBI,PCG,PCH,PD.1,PEG,PEL.1,PEP,PFE,PG,PGL.1,PHA.1,PPG,PRDCQ,PZSM.CM,RACM.CM,RAD,RDPL,RLM.1,ROK,RSHCQ,RTN,RYI,S.1,SFX.2,SGP,SHLDQ,SHW,SKY.1,SLB,SMI.1,SNT.1,SO,SPGI,SPP.3,SPXC,SQD.1,SRE,SUN.1,T.2,TEK.1,TGNA,TKA.,TKR,TMC,TNB,TRW.1,TWX.1,TX.2,TXN,TXU2,UAL,UCC.2,UCL,UCM.2,UH,UIS,UN,UNP,USG,UTX,VAT,VO.3,WHR,WINN,WLA,WMB,WWY,WY,WYE,XEL,XOM,XRX,ZE
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,33.7963,,13.3283,,,,,15.6852,,,,8.8564,25.9434,,,,,,,,12.3125,13.6175,,,,,,,,,,,,13.287,,109.8343,259.7756,,,,,,40.625,,,,,10.2426,8.2565,,,,,,,,,,12.7727,,,,,,,,,7.0988,11.0169,9.7436,,,,9.8259,10.1726,36.5235,,,15.4049,,,,,,7.8233,,11.6015,,,18.2692,,,,9.1667,,,,,,,3.4736,,,15.6724,,,5.2436,7.1192,,,7.4872,20.8957,,,,23.9018,,,,,,,,,,,,133.8236,,,24.1667,,13.2971,,,,,,,,,,0.3181,,,,4.1509,,,17.618,,11.3238,,,,,,,,,,,18.5444,,,,,,,14.498,,,,8.2009,8.2738,,,,,,,,,,,,,,,,,,,,,,,15.8179,,,,,150.5952,,,,,,,,,,,,,,,,,22.6107,,,8.5396,,16.3306,,
1990-12-31,,,,,,,,,,,9.084,,,10.565999999999999,,,,,,,,,,,,10.0599,25.5072,11.3061,,11.1111,22.3684,11.1607,15.8174,,,,8.4662,22.8795,19.1499,,,,,,,11.0625,22.5962,14.5029,,,,15.2965,17.0732,,,,,16.2088,14.5753,,9.2631,266.6119,9.7217,,8.7466,,10.1198,11.9057,10.7021,,,,10.267999999999999,8.6485,,,,8.6656,,,10.0962,,10.5208,13.6282,16.491,9.1034,9.1701,,9.0835,,,,7.0988,11.3936,11.2179,3.4564,20.7176,,10.9764,10.1726,39.0625,11.3481,,15.9333,12.199000000000002,,,14.1791,,8.5958,,11.6015,,,113.8889,23.5033,,,12.2619,,,,7.6729,,16.4828,3.6907,,15.6904,10.7517,18.1265,,6.4898,10.1234,8.3754,,7.5512,20.9306,18.2392,,14.6581,22.7941,,14.5408,15.4561,,,18.7821,11.312000000000001,,,13.2386,,141.1765,,,22.3881,,13.9623,3.1274,,18.6541,,,,,,,0.6307,,16.2849,,3.7086,43.75,12.172,18.0246,,11.2287,16.0494,,14.9775,11.9048,7.0581,,10.3027,,17.5798,16.9287,17.8645,,,10.6335,10.625,,,15.1127,,,,8.9177,8.221,,,,17.7146,,13.3007,,21.5806,,,6.5295,14.9079,,2.9018,,,,,,7.841,,8.1745,19.1071,16.6373,,,,185.7143,,,,15.3509,,,,,7.7138,,8.1007,,,22.8155,,18.6981,12.2762,17.1405,11.6979,8.7562,12.2302,13.0682,3.6195,
1991-01-31,,,,,,,,,,,8.7812,,,10.3774,,,,,,,,,,,,11.5582,28.1352,12.3027,,14.9691,25.3289,12.6488,14.9151,,,,9.6756,22.2098,19.7215,,,,,,,12.25,23.9183,16.3103,,,,17.1833,16.0823,,,,,15.3846,14.6236,,9.0415,123.4516,11.18,,9.814,,11.0233,11.7008,10.4452,,,,10.1283,14.3373,,,,8.6656,,,10.0427,,10.4514,15.5686,15.512,9.9704,9.4262,,9.5526,,,,7.0988,12.8571,14.253,3.7682,22.9167,,11.9092,372.9945,39.0625,12.6585,,15.3236,14.034,,,14.0392,,9.7912,,11.6015,,,148.6111,23.3745,,,18.4028,,,,8.2412,,18.1373,4.345,,16.6318,12.0599,18.7348,,7.3529,11.1405,9.7244,,11.2859,22.3162,18.75,,14.6799,23.8971,,17.602,16.723,,,20.0,12.4483,,,12.9545,,141.1765,,,24.7761,,13.8198,3.3616,,18.9914,,,,,,,0.8340000000000001,,14.2928,,3.8013,45.8333,13.3382,17.4706,,10.5626,16.6667,,16.5318,11.9643,8.0316,,10.1562,,18.5941,18.8417,16.3436,,,11.1708,11.6477,,,16.291,,,,9.375,8.7925,,,,17.8144,,14.1459,,21.534000000000002,,,6.0903,16.0411,,2.7051,,,,,,8.872,,9.9642,22.0536,17.6937,,,,185.7143,,,,14.4737,,,,,8.1234,,8.0372,,,24.1505,,19.4252,12.4541,18.6873,12.2995,8.4027,12.0054,13.0366,4.9704,
1991-02-28,,,,,,,,,,,9.3616,,,10.7547,,,,,,,,,,,,14.2979,29.6811,12.0224,,16.6667,29.1118,14.7321,15.3397,,,,9.6756,26.6741,21.365,,,,,,,14.6622,26.261999999999997,17.9413,,,,17.217,17.1494,,,,,16.2088,15.2027,,9.7063,143.5602,11.4838,,10.4339,,11.6558,12.3361,10.7877,,,,10.5124,13.5499,,,,9.0107,,,10.2564,,10.7986,15.704,17.0181,10.4495,9.6311,,11.1305,,,,7.0988,13.3673,15.1677,4.0393,30.4398,,13.3544,395.6002,39.0625,13.4496,,16.2351,15.0534,,,15.2985,,9.222000000000001,,11.6015,,,151.3889,27.56,,,16.1458,,,,8.4544,,19.5466,5.2112,,16.6841,12.2502,20.1642,,7.9604,11.6136,11.6918,,11.755,23.9571,20.0421,,15.0071,25.674,,20.2806,16.5118,,,20.2564,13.0165,,,14.375,,141.1765,,,25.596999999999998,,14.4101,3.9886,,21.1967,,,,,,,0.8992,,14.492,,4.3112,47.9167,12.828,19.0898,,9.1331,15.8951,,19.6403,12.0238,7.7578,,10.790999999999999,,22.1438,22.0126,16.756,,,11.991,11.9886,,,16.9057,,,,9.4131,8.8511,,,,19.6108,,15.1246,,23.6781,,,6.471,16.0765,,3.0494,,,,,,8.3836,,10.1093,20.3571,18.5739,,,,185.7143,,,,15.9357,,,,,8.4238,,8.4179,,,24.7573,,21.1911,14.767000000000001,20.1505,12.3663,9.4842,12.2752,13.9205,5.7861,
1991-03-29,,,,,,,,,,,9.3562,,,10.8271,,,,,,,,,,,,14.9411,9.6262,11.6337,8.6832,27.7778,28.9706,17.3986,16.3021,,,,9.6191,22.7754,21.34,,,,,,,14.3243,60.6013,17.2983,,,,17.8524,17.5452,,,,,16.2846,15.8635,,15.5364,160.1053,13.8721,,9.2884,,13.1051,12.1069,11.6525,,,,10.4341,12.7953,,,,8.9506,,,11.6516,,11.0417,15.905,15.3347,16.4892,9.9593,,11.2585,,,,7.0988,13.6735,16.4634,4.0341,28.1532,,13.5759,361.6916,39.0625,13.5206,,17.4028,16.4084,,,14.7727,,10.8601,,11.6015,,,122.2222,24.9021,,,16.8403,,,,9.4548,,20.875,5.5884,,16.9606,11.7761,18.0588,,8.624,12.6338,11.4247,,11.8377,24.2722,19.7828,,15.1999,25.7109,,20.082,18.3903,,,19.132,24.7967,,,15.583,,141.1765,,,27.0777,,14.7597,3.9546,,20.8894,,,,,,,1.3604,,14.5576,,15.1104,34.3023,13.7731,19.5946,,8.4748,85.0,,19.2468,13.3974,10.2898,,10.4406,,22.6067,22.0619,17.4831,,,14.085,13.2237,,,17.2481,,,,9.8704,9.5537,,,,18.5837,,15.7156,,21.5409,,,6.5294,16.9565,,4.8003,,,,,,9.3872,,13.7872,22.7459,20.0361,,,,185.7143,,,,15.5882,,,,,7.9091,,9.4912,,,30.599,,19.8667,13.0056,20.0247,15.8717,9.5432,12.7698,12.3679,5.8478,
1991-04-30,,,,,,,,,,,9.8679,,,10.7807,,,,,,,,,,,,15.1936,8.3344,11.3243,8.9769,23.3796,30.2941,17.2297,15.8594,,,,10.1276,24.1525,20.5218,,,,,,,13.2432,60.2848,17.2983,,,,19.2819,17.3193,,,,,16.951,15.4618,,15.1221,121.1059,13.1523,,10.0756,,12.0208,12.1659,11.6828,,,,11.6989,17.1603,,,,8.912,,,11.1425,,10.8681,15.7706,15.3005,17.1488,10.1118,,11.2585,,,,7.0988,13.5434,20.8942,4.7896,25.5631,,11.2342,372.9945,39.0625,13.7391,,16.8378,15.7331,,,14.6307,,10.2009,,11.6015,,,122.2222,22.3446,,,12.6168,,,,9.6586,,18.375,5.7142,,16.5975,10.6515,18.8824,,8.9147,13.0222,11.085999999999999,,12.8181,23.9241,19.2797,,15.7628,25.0,,18.3402,19.7842,,,18.7653,31.4024,,,15.0224,,141.1765,,,26.2262,,14.8639,3.8819,,21.3349,,,,,,,1.3282,,14.5576,,16.3072,34.593,14.3904,19.4272,,9.4622,82.9167,,20.0148,13.5256,11.4706,,10.3927,,21.039,22.4742,17.2263,,,13.6888,13.5526,,,16.9089,,,,10.2896,9.2474,,,,18.4411,,16.5761,,22.6504,,,6.3013,17.2826,,4.9184,,,,,,9.8508,,12.8592,24.8975,20.2617,,,,185.7143,,,,15.6618,,,,,8.654,,9.002,,,31.3802,,19.2333,13.9785,20.3125,17.5164,9.6452,12.0504,12.5793,5.8478,
1991-05-31,,,,,,,,,,,10.0141,,,10.6877,,,,,,,,,,,,14.8569,8.5427,12.0978,9.0096,27.3148,31.4706,20.6081,16.1458,,,,11.0175,24.1525,22.0218,,,,,,,16.5605,65.5063,19.9061,,,,19.3816,17.6958,,,,,17.5906,16.3655,,15.1912,114.4801,13.6758,,11.7758,,13.5389,11.6156,11.4709,,,,13.2798,19.4686,,,,8.912,,,10.9729,,10.9375,17.8315,16.4959,17.6252,9.7561,,11.2585,,,,7.0988,14.7596,23.2664,4.5468,25.2252,,11.9304,372.9945,39.0625,15.0013,,17.1392,16.8135,,,15.9091,,11.2418,,11.6015,,,122.2222,24.1618,,,11.4486,,,,9.7401,,20.0,5.8028,,18.2054,10.9747,19.5,,9.0762,14.6273,12.7797,,14.7583,22.943,20.8422,,16.7805,27.1327,,17.8279,20.2338,,,19.4377,35.3659,,,15.6951,,141.1765,,,27.0095,,15.8855,3.9764,,23.5377,,,,,,,1.3202,,15.1235,,17.8033,35.1744,14.892000000000001,19.5109,,11.5142,90.4167,,21.6865,13.2692,14.4226,,10.3927,,20.7915,24.2784,17.4831,,,15.634,13.3553,,,16.0714,,,,10.2515,9.8891,,,,19.3441,,18.2971,,23.7135,,,6.1873,18.2609,,5.1151,,,,,,10.2854,,14.5164,25.6148,21.7058,,,,185.7143,,,,14.8529,,,,,9.5072,,9.1732,,,34.7656,,19.0667,14.3369,20.8059,19.9836,9.6656,12.2302,12.315,5.9504,
1991-06-28,,,,,,,,,,,9.7475,,,10.7481,,,,,,,,,,,,14.2617,8.2153,10.7901,7.9493,64.2045,30.2419,26.2712,15.3035,,,,12.1176,19.1057,20.3299,,,,,,,14.9682,290.4411,18.1987,,,,19.3609,15.5585,,,,,15.1546,40.051,,17.9992,108.7745,15.3216,,11.2314,,12.6745,12.5222,11.4432,,,,13.7475,18.1185,,,,8.457,,,10.847999999999999,,10.5068,16.5925,15.4491,22.29,9.8517,,11.2585,,,,7.0988,13.5987,22.5365,4.539,23.7939,,12.1499,372.9945,39.0625,14.1417,,16.4828,16.3589,,,16.1792,,15.6567,,11.6015,,,122.2222,21.3404,,,12.5,,,,11.6788,,30.0813,5.416,,20.0739,13.0544,17.852999999999998,,15.9444,17.3323,14.1932,,13.485999999999999,20.3163,20.2835,,15.0737,24.5495,,16.6992,18.0607,,,16.9517,39.6845,,,14.4824,,20.2206,,,23.0344,,16.1172,3.5246,,21.8939,,,,,,,1.999,,16.291,,82.2842,25.625,14.3025,17.2258,,10.847999999999999,85.0,,20.6675,11.0262,20.1555,,9.619,,18.7398,22.1557,15.732999999999999,,,19.0292,13.8343,,,16.0244,,,,8.1555,9.2486,,,,18.0254,,17.3488,,20.5013,,,6.5939,17.4632,,11.8504,,,,,,9.9306,,34.7807,26.8182,20.6897,,,,185.7143,,,,23.0392,,,,,9.0613,,11.8667,,,25.7,,18.5897,12.0814,19.3366,20.1128,15.3278,13.3173,12.2111,5.5835,
1991-07-31,,,,,,,,,,,10.1478,,,11.2216,,,,,,,,,,,,15.604000000000001,9.265,10.9375,8.5348,69.3182,26.8817,26.9068,13.8889,,,,13.4077,21.2398,21.9968,,,,,,,16.1624,288.9705,18.7502,,,,21.5226,16.0239,,,,,16.5464,40.5612,,18.9698,24.1539,15.6002,,11.7574,,12.2498,12.8336,11.7754,,,,14.6465,29.0028,,,,8.865,,,11.1784,,11.2838,16.6815,16.622,24.0824,10.3814,,11.2585,,,,7.0988,14.2154,22.8873,4.7453,25.9868,,11.5896,372.9945,39.0625,13.9983,,18.379,17.2476,,,16.1321,,17.9358,,11.6015,,,122.2222,23.0944,,,12.963,,,,13.758,,33.8415,5.6848,,20.6281,13.6089,18.287,,16.1111,17.0865,14.1932,,14.0759,22.2932,21.6237,,15.1921,27.0833,,15.0391,18.2445,,,18.012999999999998,40.6553,,,14.4273,,19.3015,,,27.4263,,15.1059,3.7605,,24.2742,,,,,,,2.048,,15.7787,,84.2591,26.875,15.2038,17.5578,,10.3723,83.3333,,21.589000000000002,11.4629,19.0884,,10.1301,,20.5977,24.7006,16.4193,,,19.5447,14.7472,,,16.1654,,,,8.1936,9.7977,,,,19.4293,,17.4377,,24.3753,,,6.6238,16.4706,,10.4617,,,,,,10.4939,,37.3133,27.7273,20.976999999999997,,,,185.7143,,,,25.3676,,,,,9.7667,,12.4333,,,28.4,,17.8846,12.6997,19.8625,21.0526,16.1632,13.7981,12.4737,5.7645,
1991-08-30,,,,,,,,,,,10.2184,,,11.411,,,,,,,,,,,,15.2265,9.6758,11.7335,8.7813,63.0682,27.5538,31.5678,14.3261,,,,13.9605,21.9512,22.7485,,,,,,,18.0195,279.4117,18.9199,,,,21.8672,16.6223,,,,,16.9588,42.3469,,18.9698,25.4789,15.0431,,12.8713,,12.5438,12.7669,11.9565,,,,14.4592,29.1433,,,,9.0504,,,11.1784,,11.7905,17.6601,17.4598,23.7606,10.4343,,11.2585,,,,7.0988,15.077,23.4155,4.9774,25.8772,,10.8894,372.9945,39.0625,14.3089,,18.0751,18.5972,,,15.6132,,17.7872,,11.6015,,,122.2222,22.8752,,,14.8148,,,,13.5811,,32.8252,5.5922,,20.6281,13.0208,19.0972,,15.1111,17.1172,13.4905,,14.8281,22.5973,22.3454,,15.1921,29.6171,,13.6719,20.2206,,,19.8113,43.568000000000005,,,14.3722,,19.1176,,,26.7813,,14.9552,4.1144,,23.9207,,,,,,,2.0753,,14.5492,,84.2591,27.2917,15.7915,17.3772,,9.1331,90.4167,,21.2818,12.0087,18.1399,,10.5483,,20.9208,26.1477,16.9784,,,19.4588,14.5365,,,17.1875,,,,8.7652,9.4798,,,,20.6975,,16.9929,,25.3329,,,6.5639,15.9559,,10.0913,,,,,,10.9978,,39.1706,29.4318,20.546,,,,185.7143,,,,26.2255,,,,,9.6175,,12.7667,,,29.6,,18.7821,12.7949,20.4693,20.7707,16.6452,14.5192,12.2374,6.0617,
