,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
p,0.5656543297985643,0.19656769142194103,0.9762084018699732,0.29988919685700716,0.7481900159268111,0.2533957792584173,0.7587745622898304,0.4415856650110692,0.5821912204785382,0.29913494355966463,0.9057383278087625,0.8824263530887726,0.9146036156285926,0.16947491238468518,0.7452143092000927,0.23341404357198933,0.49635433940668816,0.6709824036129031
significance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
