Pool
AA
AAPL
ABMD
ABT
ADBE
ADCT
ADI
ADM
ADP
ADSK
AEP
AFL
AIG
AJG
ALK
AMAT
AMD
AMGN
ANDV
ANDW
AON
AOS
APA
APC
APD
ARG
AS.
ASH
ATO
ATVI
AVATQ
AVP
AVY
AXP
AYE
BA
BAC
BAX
BBT
BBY
BC
BCO
BCR
BDK
BDX
BEAM
BEN
BGEN
BGG
BHGE
BHI
BIG
BK
BLL
BLS
BLY
BMC
BMS
BMY
BNSSA
BRL
BSET
C
CA
CAG
CAH
CAL
CAR
CAT
CBE
CCEP
CCK
CCL
CCTYQ
CDNS
CEG
CELG
CERN
CHD
CI
CINF
CKL
CL
CLF
CLX
CMA
CMCSA
CMI
CMS
CNA
CNP
CNW
COG
COMS
COO
COP
COST
CPB
CR
CSCO
CSX
CTAS
CTB
CTL
CVGYQ
CVS
CVX
D
DD
DDS
DE
DHR
DIS
DJ
DLX
DOV
DRE
DTE
DUK
DVN
DWDP
EA
ECL
ED
EFX
EHC
EIX
EMC
EMR
ENRNQ
EOG
EQT
ES
ESV
ETN
ETR
ETS
EVRG
EXC
EXPD
F
FAST
FBF
FBNIQ
FBO
FDO
FDX
FFB
FHN
FISV
FITB
FJ
FJCC
FL
FLMIQ
FLS
FLTWQ
FMC
FMCC
FNB.
FNMA
FRT
FRX
FTR
FWLT
GAPTQ
GCO
GD
GDW
GE
GENZ
GHC
GIDL
GIS
GLW
GOLD
GOSHA
GPC
GPS
GR
GT
GWOW
GWW
HAL
HAR
HAS
HBAN
HBJ
HCP
HD
HDLM
HES
HFC
HM
HOG
HON
HOT
HP
HPC
HPQ
HRB
HRL
HRS
HSH
HST
HSY
HTMXQ
HUM
IBM
IFF
IK
IKN
IMNX
INCLF
INTC
IP
IPG
IR
ITT
ITW
JAVA
JBHT
JCI
JCP
JEC
JEF
JH
JKHY
JNJ
JOSEA
JPM
JWN
K
KATE
KBH
KEY
KLAC
KMB
KO
KR
KRI
KSU
L
LB
LDG
LEG
LEN
LINB
LLTC
LLX.
LLY
LM
LNC
LNT
LOW
LPX
LRCX
LUB
LUV
MAS
MAT
MBI
MCAWA
MCD
MDP
MDR
MDT
MEE
MGM
MKC
MKG
MMC
MMM
MNST
MO
MOLX
MRK
MRO
MSFT
MSI
MTB
MTW
MU
MUR
MWI
MXIM
MXS
MYL
MZIAQ
NAV
NBL
NBR
NC
NCC
NE
NEC
NEE
NEM
NEU
NFB
NI
NKE
NL
NMK
NOC
NOVL
NRTLQ
NSC
NTRS
NUE
NWL
NYT
OAT.
ODP
OKE
OMC
OMX
ORCL
ORX
OXY
PAS
PAYX
PBCT
PBI
PCAR
PCG
PCH
PCL
PCP
PDG
PEG
PEP
PFE
PG
PGR
PH
PHM
PKI
PNC
PNR
PNW
PPG
PPL
PRDCQ
PSA
PTC
PVH
R
RAD
RAL.
RATL
RBD
RBK
RDC
RDPL
RF
RHI
RJF
ROH
ROL
ROST
RRC
RRD
RSHCQ
RTN
RYAN
RYC.
SCG
SCHW
SCI
SGP
SHW
SIAL
SIG
SII
SIVB
SJM
SKLNQ
SLB
SNA
SNV
SO
SPGI
SPLS
SPXC
SRR
SSP
STI
STJ
STR
STT
STZ
SVU
SWK
SWKS
SWN
SXCL
SYK
SYMC
SYY
T
TAP
TCOMA
TDM.
TER
TEX
TFX
TGNA
TGT
THC
THY
TIF
TIN
TJX
TKR
TLAB
TMC
TMK
TMO
TNB
TROW
TRV
TSN
TSS
TXN
TXT
UCL
UDR
UH
UHS
UIS
UN
UNH
UNM
UNP
UPC.
USB
USG
USHC
UTX
VAR
VAT
VFC
VMC
VNO
VTR
VZ
WAMUQ
WBA
WDC
WEC
WELL
WETT
WFC
WFT
WHR
WLA
WLBAQ
WM
WMB
WMT
WMX
WOR
WWY
WY
WYE
XEL
XOM
XRAY
XRX
YRCW
ZION
ZRN
