Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cf,cf,sg,sg,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,0.367606894,-0.803095357,0.342159352,-0.1096335,,,-0.990348397,0.748446701,,,-0.303301841,-0.743399139,0.013531585,0.171334552,0.483802962,-0.594740521,,,0.245079785,0.077755388,0.308322612,-0.341436967,,
1990/5/31,,,-0.301365528,0.35471311,0.090165163,0.184485045,,,0.008968231,-0.124852252,,,-0.318745846,0.344215594,0.384444762,0.059674418,-0.190849677,-0.469825523,,,0.022452773,-0.239872212,-0.323677331,0.103929696,,
1990/6/29,,,0.178931246,-0.228932072,0.428083557,0.438681705,,,0.943260759,0.713464558,,,-0.723480014,0.409342478,-0.034299925,-0.010623417,-0.444159862,0.28629653,,,0.090823966,-0.421446068,-0.218022384,0.360608302,,
1990/7/31,0.386736812,0.928185083,-0.633446417,-0.740250997,0.455434042,0.041086806,0.160473293,0.391862121,-0.121925282,0.272088439,0.380886636,-0.131695264,0.818842702,0.226721137,-0.012517479,0.2987994,-0.153061344,0.148738411,0.34589483,0.341801689,0.422538188,-0.101528221,-0.39849399,-0.132262748,0.559377411,0.194546479
1990/8/31,0.193109204,-0.354573378,0.957272817,0.064094544,-0.04470856,0.073504888,0.704653394,0.582259734,0.794647225,0.294169778,0.326302607,0.007553783,-0.376805681,0.117243659,-0.336989241,0.44002231,0.00157745,0.198339478,0.293224498,0.450076468,0.120357996,0.04069708,-0.137921562,-0.059310097,-0.435576148,0.319810055
1990/9/28,0.02143855,-0.712425945,-0.873160613,-0.811635264,0.175541855,-0.014910161,0.346021459,-0.579969153,-0.183531973,0.287870164,-0.075165249,-0.435585915,0.4959433,-0.665729124,0.151364238,0.387944508,-0.16279727,0.165303825,0.521275092,-0.128233166,-0.111994378,0.18239593,0.007151884,-0.205567377,0.606619985,0.183804117
1990/10/31,0.533083907,0.810938293,-0.213158274,0.509771153,0.24358698,-0.120947915,-0.099044537,-0.067893946,0.549186304,-0.058466867,-0.054653778,0.552684943,0.092403571,-0.396403384,-0.092402257,0.294972132,0.023624207,-0.19087784,-0.447437421,0.002505033,-0.154761224,0.124433538,0.414580033,-0.364029785,-0.306864119,-0.058574189
1990/11/30,-0.994799514,0.446437644,-0.780695455,0.253263388,0.167074446,-0.203232797,0.216066614,0.077065518,0.081142946,-0.080539538,-0.039195803,-0.188963222,0.223066277,0.570818679,-0.178809337,-0.451247554,-0.233471993,0.062583651,-0.730520021,0.241217663,-0.080195763,0.151056889,0.054854773,0.178967232,-0.615101772,-0.101506784
1990/12/31,0.290250914,-0.956926432,0.877937338,0.257680213,-0.214603359,0.101272783,0.377212891,0.089948172,-0.039904854,0.114120379,0.260729303,-0.14682915,0.205128526,-0.065571872,-0.117717664,-0.355184869,0.018079282,0.062232383,-0.015686878,0.019301882,0.132524357,0.132414243,-0.116594525,-0.196232486,0.294624581,-0.022570413
1991/1/31,0.298508185,-0.006921203,0.035567245,0.725607122,-0.198523334,-0.29819837,0.316374339,-0.095871068,0.030197606,-0.035611022,0.065842702,0.187796409,-0.390475403,-0.057490981,-0.47872323,-0.33653412,0.119596439,-0.087558162,-0.339096187,0.427009288,0.158190143,0.198862348,0.033232521,-0.139775999,-0.078203211,0.290876517
1991/2/28,0.097007147,-0.355566335,-0.16957115,0.336163615,0.06153958,0.199231234,-0.128478615,0.033873352,-0.145624143,0.28729641,-0.035082201,-0.341350961,0.018402802,0.092668171,-0.108910479,0.027118573,0.075589085,-0.011302097,0.371822869,-0.036589264,0.237484007,0.059863015,0.136314745,0.080079779,0.357299642,-0.110088114
1991/3/29,-0.367258718,0.923201621,-0.600090712,0.083789819,0.015151169,-0.161667857,0.260168797,0.274346762,-0.235272905,-0.118791247,-0.156352068,0.374738557,-0.041878425,0.101632413,0.296461117,0.311175554,0.120857129,-0.031986276,0.397399655,0.283665798,-0.051664775,0.006744571,-0.087740418,-0.038442881,0.34103233,0.137730407
1991/4/30,0.85911472,0.385881214,0.988196289,0.810365709,0.093188922,-0.104257286,-0.094524251,-0.107317448,0.13716421,-0.014092293,0.095090365,0.059524252,-0.021049166,-0.115845142,-0.284171825,0.069335496,-0.087748527,0.227304092,-0.235008443,0.234287449,0.110167548,0.203208313,-0.051636481,-0.299564327,-0.247133119,0.115716043
1991/5/31,-0.855540215,0.072324102,0.680324174,0.384274359,-0.201963263,-0.032858071,-0.351689507,0.002901734,-0.071090487,0.005861759,0.122668581,-0.21712908,-0.326486493,-0.129293067,-0.078571075,0.037942429,0.321811769,-0.177136371,0.102303677,0.18611288,0.202756851,0.047785045,-0.114150291,-0.016447505,-0.100126778,0.074457664
1991/6/28,-0.99825186,0.403387791,0.590319966,0.6722627,-0.008488738,0.040578138,-0.035977064,0.063899642,-0.048661609,0.026282402,-0.052648654,0.239727253,-0.212886739,-0.020854739,0.195417076,-0.095637369,0.398528299,-0.06075616,-0.062958415,-0.01444892,0.102769143,0.028962216,-0.245118411,-0.127430929,0.00636506,0.09152469
1991/7/31,-0.988332246,0.728561915,0.851934108,0.0658399,0.229158018,0.326477658,-0.021895406,0.386866847,-0.014690232,0.363692542,-0.051529074,-0.065244524,-0.167886407,0.280353276,0.047387152,0.217068044,-0.044922613,-0.152640368,-0.299091893,0.191458881,0.175667521,-0.19958314,-0.140843389,0.201782514,-0.189103598,0.187889998
