Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cf,cf,sg,sg,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,-0.999953653,0.784357445,-0.191296088,0.260623906,,,0.732905864,0.239166632,,,-0.620441511,-0.3710351,-0.287236129,-0.035685895,-0.11377792,0.302769432,,,-0.19846884,-0.090610353,-0.043181866,0.211290617,,
1990/5/31,,,-0.854632912,-0.576586702,0.325743639,0.028740323,,,0.915158775,0.74489579,,,-0.857211003,0.414382579,-0.032583647,0.313575375,-0.012268484,0.133847045,,,-0.603206535,-0.197548134,0.314164795,0.295468901,,
1990/6/30,,,-0.763778211,0.76484421,0.2482631,0.255838222,,,0.595144697,0.720379872,,,0.214451919,-0.686097636,-0.012768816,0.16738651,-0.151904888,-0.159843395,,,-0.486177307,0.016737497,0.009617061,0.219650692,,
1990/7/31,0.999803681,0.349700016,-0.897344155,-0.72717817,-0.092154955,0.178850789,-0.510132097,-0.102873573,-0.396550469,-0.08298532,0.282875008,0.122811101,-0.36710272,0.337975711,-0.21396639,-0.109593414,-0.063108054,-0.06253471,-0.198236099,0.357575704,0.291645211,0.09965431,-0.067384255,-0.068007085,-0.024495416,0.03336127
1990/8/31,-0.275490472,0.198367084,0.128123924,0.866232286,0.209701775,0.10132809,0.656472641,0.574559478,0.648421171,0.73339806,-0.596296226,0.476310963,0.447960391,-0.147761132,0.082495212,0.145804547,0.132443081,0.047737651,0.405102536,-0.373595242,-0.409444104,-0.196613989,0.098055714,0.114064975,0.33650605,-0.100923771
1990/9/30,-0.575788399,0.290068411,-0.937910463,-0.728907878,0.138008343,0.266233782,-0.893657865,-0.588987867,-0.153818608,-0.36414866,0.200735342,-0.379098275,-0.682712121,-0.004196802,0.079245321,0.379753748,0.074792554,-0.564526116,-0.40290805,0.077619901,0.033391138,-0.221867956,0.004588744,0.159297575,0.614253347,-0.143550437
1990/10/31,0.986510578,0.533502013,0.73479004,0.517081473,0.018146618,0.20611885,0.403648129,-0.00194401,0.227247657,0.55369892,0.029594773,-0.09483564,0.386688169,-0.043941074,0.13677282,0.150611081,-0.166928232,-0.12833322,0.144573593,-0.013259338,-0.091847332,-0.084081063,-0.353342367,0.077295311,-0.132205699,-0.221132071
1990/11/30,0.830492757,-0.035647491,0.388487925,0.42305093,0.025045032,0.160354269,-0.029075081,0.115686019,0.438817437,0.131560313,0.055886425,0.104331724,0.441678239,0.229920352,0.040984784,-0.175895694,-0.271967741,0.000434977,-0.093405809,0.040393709,-0.360206859,-0.178633126,0.185060119,0.214639249,-0.058158765,0.028840695
1990/12/31,-0.796082106,-0.447019145,0.789357608,-0.354928774,0.079926247,-0.179081368,-0.609708641,0.687159808,0.183703388,-0.216043768,0.153107351,-0.410939522,0.03507995,0.272833495,-0.233235111,0.114055038,-0.21229316,0.009898686,0.21299119,-0.104541325,-0.073756975,0.102511194,-0.070680572,-0.122546046,0.08087666,0.269562243
1991/1/31,-0.284827232,0.533025355,-0.979365126,-0.648120312,-0.219939771,-0.311428304,-0.253675741,0.463006874,-0.152828829,-0.132589893,0.084627189,-0.194140909,0.237283563,-0.089491481,-0.164831272,-0.280494297,-0.100669038,0.178081248,-0.067883446,0.380571408,-0.098281402,0.466028824,-0.035021897,-0.119953431,-0.186572924,0.346164329
