Date,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,quick,a_turn,pe,pb
1990-04-30,-0.07927358966903625,-0.034119239630725544,0.11453154544964102,,0.4980033674548568,,,-0.4846304191062427,-0.06684582694413752,0.02965778192942281,,,-0.0943284596701159,0.05767571265653572,,0.5135162529013959,0.18445545523260126
1990-05-31,0.007391620354699044,-0.38818697016131204,0.12790876390544667,,0.3466535471649713,,,0.4829942847959722,0.049048393693320654,-0.01598091169198519,,,-0.322177413755905,0.23318969585404883,,0.4469574828029915,0.09589127531283768
1990-06-30,0.5865886393576394,0.28183685600335434,0.17731929274419359,,0.24349178498584506,,,0.28889531955634085,0.06790529918283471,-0.08391330001955058,,,-0.16463536673324275,0.011584280191874925,,0.22412217557051548,0.2573202113304722
1990-07-31,0.1481600012248711,-0.6672003174504151,0.12740568432167562,-0.1024403531947596,-0.025058198819788886,,-0.08427765181853647,0.012584412718502542,-0.07088875107619429,-0.026530638003993395,0.16420469317327935,,0.06633460061641137,-0.04361364044740828,0.1645523389857666,0.10355269453170537,0.10475417319182685
1990-08-31,-0.39790574874434737,-0.19400327889809402,0.2201213657857105,0.37529790635328,0.5471783493903458,,-0.032776501840878325,0.026838263442388457,0.11090105782803611,-0.1155333412381063,0.4728716834653736,,-0.2477334026205269,0.11046330073835414,0.3479262037749143,0.19258161144294741,0.2023331120691346
1990-09-30,0.17613538088695294,-0.590857490334034,0.16008769948438484,-0.5209309432629484,-0.005594728850645197,,-0.3863255611370043,-0.07370187069524599,0.33147046299161187,-0.3441205456537294,0.03231412034764685,,-0.16382354553416886,0.07867296231967572,0.3612438669118679,-0.04755835612216321,0.11260617042111846
1990-10-31,0.4830862968295897,0.024242682917471756,0.14241221090803285,0.1878111478157825,0.24127646592406254,,0.10985537327495125,-0.013576794919431484,0.2678208417448579,-0.12138853853956753,0.013630018839761492,,-0.09951781982050623,-0.043382194005446975,-0.1142876722328261,0.13450123733622804,0.1698614234006892
1990-11-30,0.15499801342105654,0.34243538791450373,0.05743571766623775,0.21139026345027287,0.11454952556376899,,-0.07914467908963793,0.4028049881966897,-0.1291915534683232,-0.011452759203565938,0.15436818188029036,,-0.3061354063878432,0.15251584739103188,-0.10889417777299888,0.23401738813964168,-0.0642588754344464
1990-12-31,-0.316434879138584,0.1070282737353104,-0.011992567002214577,0.1681112969766182,-0.039840302300037544,,0.06264793686905194,0.014362173562548318,-0.14784727279280285,-0.009878377905050908,-0.04912489648512933,,-0.020603286523139325,-0.07243531729275082,0.04813180015330682,0.0451894603455976,-0.3043338507175684
1991-01-31,0.14664835443319,0.0835456045484981,-0.3122244228993626,0.12271814049909689,-0.09712256765038745,,0.04438144157842202,-0.03065469691574681,-0.4419813737965145,0.06863010517957353,-0.03787423314979257,,0.2802902413369593,-0.05093351614229179,-0.047543387484071865,-0.06288102193762059,-0.2525460143578015
1991-02-28,0.1307524271219204,-0.07841543387425415,-0.01166361885649683,0.048988813501104775,0.1185186067507773,,-0.15993438230148957,0.11957283352683128,-0.2373794783050926,0.08227718636918512,0.15307397045768162,,-0.024392047470708673,0.06217794184594474,0.12527203854297453,0.04559416092887964,0.013265850298476985
1991-03-31,0.2401313733988968,0.16083995947155952,-0.004256302363603822,0.28523519938969705,-0.11315621633138959,,0.11295784210233427,0.05890718464025931,0.28079429524365007,-0.004275794953477194,-0.09590775782059874,,-0.006063901111663623,-0.03106507929778699,0.17534137989736906,-0.16611126501685547,0.06516041621225999
1991-04-30,0.32452665714870427,0.07386531062974033,0.1265876876521047,-0.06617746357268461,0.1613079027287441,,-0.007638602427941658,0.036943168215207656,0.019201454566980133,0.09643829600434045,0.04143559415919903,,-0.08164088994976666,-0.08244657186063035,-0.0836995338475819,0.0022462836016961447,0.019949325238691223
1991-05-31,-0.1770132403502713,0.381761005290145,-0.1023438842689743,-0.10591169152421472,0.0012971007251613145,,0.0813480912207525,-0.16650887441340215,0.07761504561473821,-0.06623488180825486,-0.015369961172048982,,0.07139743428898103,-0.004249463691512099,0.015999780118075423,0.23594136713754463,-0.18698615930985454
1991-06-30,-0.2936904395572951,0.07529501544865182,0.023411687089727577,0.07799504209667896,-0.04406068880867994,,-0.058583478196178,-0.129614225520565,-0.08946945234282257,-0.18110416262688908,-0.03212740047844111,,-0.09990651624391249,-0.06779797718048652,0.04156711130078984,-0.2650531935074275,0.07187954599405746
1991-07-31,-0.12889650224021829,-0.3411256892408155,0.15992580990482966,0.15278208758661493,0.05662102047202826,,-0.023993036328759976,-0.015888916533623874,0.051607692732570265,-0.07458284351668626,-0.0009035359643922216,,0.039480864329391026,0.019322678970962813,-0.03963603270751274,0.12515269691722444,0.11819611802655781
1991-08-31,0.7353128250502275,0.5305069581808068,-0.0764041921808276,0.06559613377848951,-0.3511957232022963,,0.0740338796992794,-0.12702160427856232,0.12609404497691734,0.09889765388480053,-0.022809899820064435,,-0.08019896133663364,-0.08733921893610151,-0.055556023317562625,0.019983512094381144,-0.031559621990923166
1991-09-30,-0.48079124084859,-0.4572190168652258,0.16017986911485918,0.0415626753966696,0.15608077959747071,,0.07853399852730736,0.05140877795661343,0.0702258766518522,-0.09958475398331756,-0.023308549162220953,,-0.0005945021598450393,-0.05505896714691947,-0.15444570144477887,-0.21861041597143652,0.00632775432558748
1991-10-31,0.3171962519869853,0.32253329489417604,0.0266562421948,0.09266289625084737,0.029612260718562742,,0.07791952451666008,-0.04587495113064946,0.10492541506181118,0.019845934620271663,-0.002857616142576798,,-0.010888342747517911,-0.10436437884473325,-0.012227784880348796,-0.073007247837567,-0.13112739164051523
1991-11-30,0.551980868823287,0.4199032038156468,0.21878710711590524,0.2466308930210249,0.14115115211719495,,0.021055543791159707,0.08503337901600491,0.05204366630589095,-0.14792153461880223,0.011674393696009885,,-0.09130229241825379,-0.04224899392764481,0.06413802084748875,-0.08146372270642897,-0.0009933471412755474
1991-12-31,0.70408528870122,0.6942942448090449,0.06373608320419465,0.2455127321038699,0.07722886711580511,,-0.02078168084163786,0.15409501503204068,0.09794579718143273,-0.139162078792393,-0.19862735616564803,,-0.02519321996635903,0.04335085916764265,0.033433427329456124,-0.19570639612963903,-0.020299714370292116
