,pe/eps,pb/eps,mom/eps,cfni/eps,art/eps,goodwill/eps,leve/eps,quick/eps,a_turn/eps,pe/sps,pb/sps,mom/sps,cfni/sps,art/sps,goodwill/sps,leve/sps,quick/sps,a_turn/sps,pe/prof_mar,pb/prof_mar,mom/prof_mar,cfni/prof_mar,art/prof_mar,goodwill/prof_mar,leve/prof_mar,quick/prof_mar,a_turn/prof_mar,pe/lgro,pb/lgro,mom/lgro,cfni/lgro,art/lgro,goodwill/lgro,leve/lgro,quick/lgro,a_turn/lgro,pe/roic,pb/roic,mom/roic,cfni/roic,art/roic,goodwill/roic,leve/roic,quick/roic,a_turn/roic,pe/ninc,pb/ninc,mom/ninc,cfni/ninc,art/ninc,goodwill/ninc,leve/ninc,quick/ninc,a_turn/ninc,pe/cfo,pb/cfo,mom/cfo,cfni/cfo,art/cfo,goodwill/cfo,leve/cfo,quick/cfo,a_turn/cfo,pe/cf,pb/cf,mom/cf,cfni/cf,art/cf,goodwill/cf,leve/cf,quick/cf,a_turn/cf
LOW,-0.016103404,0.006072473,0.049641537,0.01020454,0.020591449,0.007864169,0.000849197,0.005483224,0.02964371,-0.005706224,0.017236585,0.023950968,0.017042572,0.009982806,0.007339436,0.00345905,-0.019293801,0.011880463,-0.008065747,0.00671436,0.022152487,0.007078518,0.013783857,-0.009909686,-0.007919566,-0.018486223,0.032747109,-0.001403121,0.003055972,0.024224492,0.009530189,0.007662127,0.008356846,-0.001306285,-0.011101556,0.005791931,-0.010234704,-0.005650576,0.010889305,0.0169163,0.010459681,0.000438612,-0.008000274,-0.006884207,0.008878501,-0.019047637,0.006431406,0.028527951,0.008442686,-0.007625195,0.00217803,-0.021056377,0.001724838,-0.000130005,-0.015182246,-0.004546383,0.013331049,0.004913697,0.000211686,0.003963293,-0.004244144,-0.009448178,-0.00185273,-0.013408331,-0.012272518,0.01669879,0.018532201,0.006050531,0.013319649,-0.017561668,-0.009087652,0.01080843
HIGH,-0.022467328,0.026583904,0.229812405,0.053013665,-0.230149791,-0.101448256,-0.058707949,0.187604516,-0.286396648,-0.266802134,-0.189977471,0.115131984,-0.123877819,-0.211120574,-0.15305092,-0.109469896,0.101811838,-0.119429618,-0.074803111,-0.052899565,0.085182546,-0.017348141,0.085094572,0.242176058,-0.162912033,0.081441937,0.224295546,-0.17846411,-0.03575133,0.155103501,0.129895483,0.026760989,0.056225878,-0.023083852,0.04072163,0.034117926,-0.189113063,0.034809662,0.068779246,-0.065096473,0.09203519,0.02651661,-0.128035312,-0.004821423,0.283350172,-0.055196493,-0.049351992,0.336396888,0.11007176,0.01742176,-0.072693268,-0.197459494,0.072590471,0.106670282,-0.116400878,-0.011141902,0.261442611,0.03898113,0.077358852,0.019722679,-0.130703554,-0.080983598,0.239796019,-0.129946509,0.137546156,0.178879882,0.049091703,0.06115639,-0.049424243,-0.104347127,0.056990555,0.19084411
