Date,LOW/comqual/pe,HIGH/comqual/pe,LOW/comqual/pb,HIGH/comqual/pb
1991-07-31,-0.2632366454127207,0.1322159306944879,-0.025928138274692397,0.13657082095360076
1991-08-31,-0.22530038046472997,0.14884843097686534,0.042525015735212605,0.2499797924745011
1991-09-30,-0.302184597186657,0.0003531861374816625,-0.23656661558159794,-0.08628164412040291
1991-10-31,0.11697376581058307,0.03196744231773849,-0.22336757404485189,0.12833461979531674
1991-11-30,-0.10573107593062334,0.11894098190119018,-0.15939149548856385,0.23407124147588548
1991-12-31,-0.31859276527003927,0.04046700343532449,-0.13440225424692168,-0.06840480292132518
1992-01-31,0.26113921513023886,-0.3121181605006969,0.14464998743609417,-0.19373568918818695
1992-02-29,-0.010940814732595252,0.012074126086240073,0.07801047938426317,0.02809274456632224
1992-03-31,0.004370312159325276,-0.002767549705220893,0.08534681287892057,-0.055076950572985325
1992-04-30,-0.027583154698328814,-0.37743090918998695,0.062054801243226466,-0.3319588087885187
1992-05-31,-0.16077437990262874,-0.018644437902388233,-0.07190287165890136,-0.03800568208543147
1992-06-30,-0.054668639866490044,0.15590069186985486,-0.14200241628097174,0.03231301433324345
1992-07-31,-0.1769554460465338,0.1971435672031407,-0.016818849784309205,0.02379786547333846
1992-08-31,0.04411050758504817,0.2926885740228639,0.1682721314288196,0.1295326333188048
1992-09-30,0.01918805055361133,0.2507662861408877,-0.049181037307092834,-0.03249211171868441
1992-10-31,0.08602452663090376,0.15734879743559305,-0.014443205976026843,0.25994021110399207
1992-11-30,0.11416517295629512,0.2544240661192933,-0.02441407163387094,0.02104098417756609
1992-12-31,-0.149638880074888,0.0035444408469133197,-0.06961916583955034,-0.17147066552134768
1993-01-31,-0.07727000040408574,0.11951874092202926,0.01364331990320152,-0.18138167673409114
1993-02-28,-0.18887213186433333,-0.14367032112143052,-0.0244214557469699,-0.21012626306744944
1993-03-31,-0.06600000366090197,-0.002827379851919882,-0.011165323589270956,0.0032372283166534946
1993-04-30,-0.04867088491881535,-0.0006907668598649913,0.050240396089092816,-0.1303515636487593
1993-05-31,-0.06789547444203718,0.2467349520591929,0.06680343088593126,0.2594556055896309
1993-06-30,-0.40894526696015604,-0.03314324660352399,-0.10522749717721788,-0.23253402990350205
1993-07-31,-0.11889176063854492,-0.05334930541901352,-0.07210160712071663,-0.20421787004002598
1993-08-31,-0.09823967587314283,-0.06562141602724517,-0.14791951288065974,-0.22354356657287297
1993-09-30,-0.21463212484058344,-0.007552985913314841,-0.07688426208313179,0.0759424390048838
1993-10-31,0.060357326673430634,0.004097599849184668,-0.10021089976486686,0.09503984781782604
1993-11-30,0.2609293145697029,0.12437419468513002,0.042774566690280784,0.2748778304254989
1993-12-31,-0.09439044293398811,0.10504611664659061,0.16046747675007558,0.03734108944303681
1994-01-31,-0.055413977015941925,-0.04708744585825008,-0.06013977971703239,0.0061777325608800135
1994-02-28,0.32039504072514735,0.1541100036455857,0.15066493521255006,0.3232620955454682
1994-03-31,0.15350648893898317,0.10013620620803788,0.1243411758893678,0.09081256622322777
1994-04-30,-0.3937791151693677,-0.051153567230523764,-0.13104046021809668,-0.04677631160974889
1994-05-31,0.07957155873089986,-0.262134049736913,-0.18397101661642282,-0.1804092906467351
1994-06-30,-0.0634740879760582,-0.041176959964985445,-0.025446929935135604,0.01057170206495358
1994-07-31,-0.2104766203739908,0.03907175585945849,-0.018632495964127985,-0.2076409482386464
1994-08-31,0.16115753128853377,0.23858454363868387,0.18469667213710814,0.24732445912264894
1994-09-30,0.11400261943834601,0.2157010517555942,0.13153928703162598,-0.013373707627602769
1994-10-31,-0.09385952211315395,0.06435614730989508,-0.05372993262001289,0.054579842934606854
1994-11-30,0.08619860887904104,0.003589405056954863,-0.009288386139793423,0.14773662533281057
1994-12-31,0.030337892172771174,-0.1720570981665621,-0.04500659169639154,-0.27514044312092006
1995-01-31,-0.25935559485781795,-0.022621797155713642,-0.1730507784206539,-0.0826281805650478
1995-02-28,-0.12661245413185626,-0.1599327872839752,-0.2907798442927044,-0.1024451511494808
1995-03-31,0.014625300805004668,-0.05350912118059746,0.12534232944626997,0.11180878069774373
1995-04-30,-0.16261355130851152,-0.1117787221554626,-0.043964853348015906,-0.25971952088009775
1995-05-31,-0.06608057507271994,-0.12832342536989788,-0.15515773354189596,0.02975870656038455
1995-06-30,-0.1211554699945543,0.18114056613697252,-0.06309366784948994,0.1634052337784815
1995-07-31,-0.122810776119159,0.0832747812371236,-0.10088023342471365,-0.04268986334841209
1995-08-31,0.026264042317239743,0.06449574428877053,-0.06621544460867446,-0.10476508646355068
1995-09-30,-0.19871438969412217,-0.045287382992634996,-0.2011443712895271,0.033193615282772884
1995-10-31,-0.07362020433965809,0.007967317431305925,-0.23068628532917526,0.06712798523136917
1995-11-30,-0.15601168882282856,-0.2463964940240088,-0.14210120545877594,-0.00013277770304219035
1995-12-31,-0.1841288224220526,0.0383619962296133,-0.39189817229071733,-0.07260129486850318
1996-01-31,-0.22729090139345967,0.06935752876703254,-0.2140583963798925,-0.0097982967157338
1996-02-29,0.08415995349734373,0.19605105539049666,0.16341928758206872,0.24819075835222595
1996-03-31,-0.02079344203815801,0.016446338135676024,-0.005538034163898543,-0.0005925052724219987
1996-04-30,0.3134691394162808,0.1193236010697,0.1578178454411335,0.2901517793215833
1996-05-31,-0.23213434443357242,-0.0038735151981289227,-0.15858143590487328,0.18990773220177276
1996-06-30,-0.23691304883422093,-0.04397995783292328,-0.19510662195337566,-0.11086627946957137
