Date,LOW/comgro/pe,HIGH/comgro/pe,LOW/comqual/pe,HIGH/comqual/pe,LOW/comval/pe,HIGH/comval/pe,LOW/mom/pe,HIGH/mom/pe
1990-03-31,,,,,,,-0.13889211605861992,0.44311620794136697
1990-04-30,,,-0.3378596762897866,0.3920396029010682,-0.2992038487861191,-0.30958186616436256,0.013531584695313754,0.1713345519597538
1990-05-31,,,-0.009341547597173656,0.19114187766995933,-0.009341547597173656,0.19114187766995933,0.3844447618269765,0.05967441844189411
1990-06-30,,,,,,,-0.0342999251469903,-0.010623416527234565
1990-07-31,,,-0.3502906241966573,-0.3343376615629269,-0.30581504487820205,-0.339174252901838,-0.012517479080483698,0.29879940046442954
1990-08-31,,,-0.3124049138579985,0.0873691755884848,-0.3124049138579985,0.0873691755884848,-0.3369892411991486,0.440022310197888
1990-09-30,,,,,,,0.15136423829443413,0.387944507850401
1990-10-31,0.23549746474450592,0.26872258254756765,0.3768901485121186,0.1640831362941532,0.19822930202459202,0.2312720949655473,-0.09240225662583301,0.29497213188235816
1990-11-30,0.058679467205497916,0.28730656018032463,-0.25826154110798044,0.08837339245757667,-0.25826154110798044,0.08837339245757667,-0.17880933744571195,-0.4512475541398772
1990-12-31,0.06610572580511795,0.04948975736535028,-0.4251331927641175,0.22593540109634216,-0.4251331927641175,0.22593540109634216,-0.11771766370484345,-0.35518486864971366
1991-01-31,-0.06320680907771581,0.010628042617821921,-0.1640878539827297,-0.4018618151172082,-0.1640878539827297,-0.4018618151172082,-0.47872322950638585,-0.33653412032430285
1991-02-28,0.003579996912434965,0.01649008294357253,-0.0157778360805779,0.11262308836996206,-0.0157778360805779,0.11262308836996206,-0.10891047916702558,0.027118572841454146
1991-03-31,,,,,,,0.29646111709485096,0.31117555400738445
1991-04-30,0.07780733442024591,-0.10064545561427177,-0.11782297936416192,-0.1618740202439651,-0.035891491976977954,-0.19832787534708282,-0.28417182529254187,0.06933549615273799
1991-05-31,0.08614390978453461,-0.11488557603110548,-0.27597142382897527,0.11610093897308653,-0.27597142382897527,0.11610093897308653,-0.07857107514419921,0.037942429437828995
1991-06-30,,,,,,,0.19541707619173038,-0.09563736944453648
1991-07-31,-0.17375943175608155,0.29350488134427005,-0.13850449833513223,0.13049584244090032,-0.12547312897215304,0.23743683040232988,0.04738715242812796,0.21706804409321795
1991-08-31,,,,,,,-0.12784700251678408,0.24376548010905982
1991-09-30,-0.24962820051771056,0.17341604647367825,-0.12120627230545895,-0.21772237708121378,-0.14082818720279577,-0.23941598240383155,0.10806387086873835,0.2261425354364405
1991-10-31,0.11722987498161866,0.09586149643636135,-0.20589069668007567,-0.17670002303939802,-0.20589069668007567,-0.17670002303939802,0.10445315795311395,0.11074615900248108
1991-11-30,,,,,,,-0.028412050309730773,0.22863320080821523
1991-12-31,0.2410062729662528,0.37816348028608165,-0.05212680559253804,-0.20959434539402724,-0.0672716085355196,-0.22483828240763973,0.0062791158519284445,0.2796593561729336
1992-01-31,0.18984140055787474,-0.22441423327755525,-0.2459195435685041,-0.30381562960232994,-0.2459195435685041,-0.30381562960232994,-0.14814711235442643,-0.28899738265517316
1992-02-29,,,,,,,-0.1712497882357232,0.021096321812291208
1992-03-31,-0.1947302718760127,-0.01044342095490039,-0.26234046951213535,-0.271603372275245,-0.21218879835746085,-0.2766160714152341,-0.09918003915962924,-0.15041010610205469
1992-04-30,-0.15694221555331553,-0.4102752702449034,-0.3333973761467003,0.006925345215199727,-0.3333973761467003,0.006925345215199727,-0.24552198666203817,-0.3389188864022684
1992-05-31,,,,,,,-0.2749068188036433,-0.28305285211324965
1992-06-30,-0.3522249221367533,0.3639060431436883,-0.09637752081128258,-0.006697803573582218,-0.13709934312948988,-0.011570591215899704,-0.21438653406917632,0.01850587651317205
1992-07-31,0.0689693588081549,0.0964510960128285,-0.23193636518890884,-0.10616838599071064,-0.23193636518890884,-0.10616838599071064,-0.1329907561931345,-0.03435077985381401
1992-08-31,-0.17274706198493966,0.23370961351350072,0.0715517124896877,-0.02259836554526659,0.0715517124896877,-0.02259836554526659,-0.09488154638371002,-0.21168489959545542
1992-09-30,-0.17941805827998306,0.06223210547651258,-0.08681177459182626,-0.049115479800387225,-0.08681177459182626,-0.049115479800387225,-0.11298706510146894,-0.03774595854018491
1992-10-31,,,,,,,-0.4369388123227309,-0.17125877136095696
1992-11-30,0.05988404395051437,-0.0017271857027812718,0.13729265001601648,-0.2874093815603078,0.12265280263276261,-0.2877880669651836,-0.37313242171020533,-0.1523859478106615
1992-12-31,0.1847282297392424,0.05906038523750376,-0.10551940580175041,-0.16747636921328057,-0.10551940580175041,-0.16747636921328057,0.02236223590439401,-0.0464724582316629
1993-01-31,,,,,,,-0.04125590784152492,0.15029918834505854
1993-02-28,,,,,,,0.0907274271561023,-0.23217501377997204
1993-03-31,-0.09082606590673072,-0.0649689555535114,-0.03728509055139993,0.05276255724505844,-0.024325681621044776,0.0743721555805062,0.1537566790496452,-0.015251534530981797
1993-04-30,-0.09430295647797374,-0.28297501368170985,-0.23893406244344398,0.025768106054899653,-0.23893406244344398,0.025768106054899653,0.13314541531826934,-0.10706470756094984
1993-05-31,0.09898749553710404,0.0867942951026606,-0.2577141903894487,-0.18307770398104162,-0.2577141903894487,-0.18307770398104162,-0.06944799038360733,0.11789590905986862
1993-06-30,-0.08483354680215306,-0.07015308855978475,-0.2592980152155711,0.0033621498346711894,-0.2592980152155711,0.0033621498346711894,0.10967055205430495,0.2912372724482344
1993-07-31,,,,,,,0.16020129395231503,-0.12613781195717316
