,eps/size,sps/size,prof_mar/size,roic/size,ninc/size,cfo/size,cf/size,sg/size,mom/size,pe/size,pb/size
L,0.9670113129277581,0.8477808322379055,0.931995599614433,0.020527033913020295,0.3079920372625948,0.007622580053587942,0.5316113222197456,0.07750739735545431,0.6857180787949517,0.18839009735638867,0.01852450129683524
H,0.07580576726647274,0.03210560233617456,0.3493083262839747,0.7571836725917358,0.23725188223096932,0.11696790677921798,0.9730983065141033,0.4602881719453765,0.5563390938347128,0.006873286063763283,0.4265433140356357
