,eps/pe,sps/pe,prof_mar/pe,roic/pe,ninc/pe,cfo/pe,cf/pe,sg/pe,mom/pe,cfni/pe,art/pe,goodwill/pe,leve/pe,quick/pe,a_turn/pe,eps/pb,sps/pb,prof_mar/pb,roic/pb,ninc/pb,cfo/pb,cf/pb,sg/pb,mom/pb,cfni/pb,art/pb,goodwill/pb,leve/pb,quick/pb,a_turn/pb
LOW,0.9538783882279838,0.9764093999416542,0.5170793391080842,0.5333685242935857,0.5124996588695944,0.5004076470281181,0.3660083794063008,0.5744516723742178,0.7508273190730781,0.4166008394686534,0.47590120872658453,0.517555747121961,0.4422140304685975,0.5836421012577939,0.5832065369728809,0.9176954350285881,0.9510194137708392,0.5750209580645328,0.5112369700083697,0.4894344589063109,0.5054347767402259,0.38602991120229746,0.5137875384871767,0.785784512470928,0.3842322499805269,0.45136988191651783,0.6353079142395941,0.4730828698698509,0.5963912895686222,0.5125769946393341
HIGH,0.9244749937368958,0.9368047199646736,0.5589285871782501,0.5773076288673733,0.4394127605235016,0.5839915310113286,0.43088527257806464,0.6069977245562187,0.7913539628590632,0.40352143098625043,0.4329457037065732,0.5854262781142723,0.5299909345146717,0.5926974967005615,0.4735954911148665,0.9819924338041441,1.0086775348341424,0.45532044926378673,0.4977784485237196,0.4083575239209245,0.5348605871851811,0.43274336303490174,0.6057614887013352,0.722876777755838,0.3666963571269697,0.4406663931777117,0.6208176766480252,0.4525217323066844,0.6122851991105032,0.46947389964646996
