Date,LOW/comgro/size,HIGH/comgro/size,LOW/comqual/size,HIGH/comqual/size,LOW/comval/size,HIGH/comval/size,LOW/mom/size,HIGH/mom/size
1990-03-31,,,,,0.0782397595701029,0.325715077684252,0.025647476200866024,-0.08373334796433304
1990-04-30,,,,,0.02280074139936618,0.3141437600291871,-0.10677067063267687,0.07043599896971851
1990-05-31,,,,,0.14491220823045076,0.523107215831349,-0.04576136838375605,0.27113241861374615
1990-06-30,,,,,0.22486888424951412,0.16679159234591215,-0.006958286438810753,-0.021262101616615535
1990-07-31,,,,,-0.12457594319710578,-0.1541430854356246,-0.1612887047953888,-0.18047613486112374
1990-08-31,,,,,0.06920444456331905,0.08708720356253907,0.14554481745827205,0.06454594832143228
1990-09-30,,,,,0.03744374729468208,-0.08822558923990498,0.3314245088884121,0.022954456463294956
1990-10-31,,,,,0.2333199181906368,0.10362529498538546,0.1563686666319421,0.04357077022297839
1990-11-30,,,,,-0.02798492753294501,0.17389417423938378,0.016630939093332537,-0.23814211040079664
1990-12-31,,,,,-0.2761301214401694,-0.04054432874424693,-0.2546986298992282,-0.26241244959505367
1991-01-31,,,,,-0.28534918502008966,-0.09162894955552149,-0.42251076503844087,-0.4630994190050967
1991-02-28,,,,,-0.0610356208663047,0.2068321409102149,-0.23410527201675058,-0.2364676769432419
1991-03-31,,,,,-0.11846516504169426,0.25801844044888317,0.2523820088485982,0.3936384298431492
1991-04-30,,,,,0.00814857506459131,0.004509902440131223,0.046485710060151474,-0.16358604210067604
1991-05-31,,,,,0.11931165973625865,0.054710402216307776,0.02859127060022939,0.21048555337204972
1991-06-30,,,,,-0.08862782343541548,0.07664509217531203,-0.07081056426517564,-0.15389742283027164
1991-07-31,0.03392917052322737,0.07184847087891678,-0.013504262042200675,0.15538561900467826,0.1532015250336362,0.1535470610152204,-0.1086648588357392,0.06845767895010531
1991-08-31,-0.49537641754479006,0.16494958158980766,0.07450053550696789,0.26541943400220475,-0.0079267917243789,0.2271204036573121,0.2331736492943728,0.14859345162873824
1991-09-30,0.10591272763450192,-0.22719396813220444,-0.045599920111346094,-0.20553037103902005,-0.014597718526662381,-0.06452449662283757,0.0014506509682945333,-0.06186310660342513
1991-10-31,0.08443772567759769,0.11774449364527864,-0.0844560189226573,0.025123868891378805,-0.22159010116181774,0.19310997453229953,0.0967855330890564,0.2745516721312657
1991-11-30,0.10103744929592826,0.22047450798580626,-0.0501870016875304,-0.00022186891675507752,-0.13234056968433047,0.26322283210402414,-0.12538340004896054,0.07014131847867534
1991-12-31,0.05253012227816825,0.2622082095296886,-0.3019328892261702,-0.015331925952927804,-0.17870290710498893,0.2590424655623297,-0.03293706108981417,0.14380673030111618
1992-01-31,0.033454178535356885,0.06541199355104596,-0.009654780028624218,-0.008581051131866769,-0.15890665143935762,-0.2436001015706649,0.13822476474548004,-0.34643971272908186
1992-02-29,0.0025068079937167545,-0.057824872709554304,-0.10359535443753543,-0.007073729884728754,-0.23732207114337214,-0.05505784179470346,0.04739104297870967,-0.0885810079965736
1992-03-31,0.02587241969755084,-0.20293718362712432,0.18307745418182356,-0.07904852937871835,-0.24714428907278527,-0.21488069580431624,0.005876978967626339,-0.16403451164596922
1992-04-30,-0.31194460191843165,-0.3383965696390683,-0.06435351001039126,-0.10581945280461286,0.16617681672475643,-0.2344349564595067,-0.29997034262204414,-0.2451543004802693
1992-05-31,0.15377248960210763,-0.14832146874338062,0.05679214759716519,0.07100445101274946,0.07439318542496687,0.3222336559263049,-0.29764471072464743,-0.13055688449378114
1992-06-30,-0.09680974610179185,0.20106765378220384,0.19315654589038553,-0.13254228075865176,-0.0473338139054252,-0.12978927942639268,-0.08997501248010054,-0.1253404894002772
1992-07-31,0.07101585355912074,0.020303876109945943,-0.14003451145165813,-0.07536835190886376,0.06589945900638118,-0.152316758907158,0.0018922341958003469,-0.22294855497207267
1992-08-31,0.04117899926146215,-0.11154010142647577,0.16596403450393063,0.13118124831512382,0.07191281168559772,0.03285928901441726,-0.11769421086939429,-0.06177751761540184
1992-09-30,-0.3379391107014296,-0.014305824189617351,0.005127527727747891,0.05345253715255848,-0.15851451341693035,-0.1753325095208548,-0.06267136812929017,-0.10398347765009179
1992-10-31,0.18674501671779373,0.10177336904092388,0.013608505663741628,0.18192208160254336,-0.1740141481145145,0.007080294894959346,-0.013986739029494835,-0.34477391355353953
1992-11-30,0.08028069749140555,-0.060172427694337144,0.11406458100049174,-0.05019480058890562,-0.3618865079448473,0.058417140344770496,0.17592445354148553,-0.23407905755037287
1992-12-31,0.028153026045328017,0.2515331847850275,0.09204127793102376,-0.09257051658400695,-0.06970629633171266,-0.43480539347120584,0.06832575377651316,0.11003678019579864
1993-01-31,-0.004970651587502937,-0.11021581685199301,-0.004103239136759823,-0.2235400541066547,-0.11815743145554666,-0.0004478397057163554,0.039550266815696504,0.09308919398726336
1993-02-28,0.017316963361090905,-0.2179771668644864,-0.12483948797027124,-0.21600798391587453,0.1404829309658653,-0.10938395614884709,0.012189318840431274,0.07048429168561539
1993-03-31,0.006215338007922707,0.02447345164288194,-0.0019211451028917192,-0.08604342118662554,0.18550073887108307,-0.1836678169663058,-0.0451079900219979,0.08852865763885807
1993-04-30,0.10264207160047434,-0.25872801631288533,0.09112160047908113,-0.14831968959136685,-0.0004700539970652141,0.019971864953502925,-0.20666399137021077,-0.11774079672367255
1993-05-31,0.12686189625247027,0.23832566123917323,-0.001716941517594753,0.16114905137578092,-0.16577698989284695,0.10148543942009222,-0.007688876565001596,0.11787223618652079
