,eps_sec,sps_sec,prof_mar_sec,lgro_sec,roic_sec,ninc_sec,gmar_sec,cfo_sec,cf_sec,sg_sec,mom_sec,cfni_sec,art_sec,ar_sec,goodwill_sec,leve_sec,tar_sec,rc_sec,inv_turn_sec,spread_sec,quick_sec,a_turn_sec,fpe_sec,fpb_sec,pe_sec,pb_sec
L_M,,,,,,,,,,,,,,,,,,,,,,,,,,
M_H,,,,,,,,,,,,,,,,,,,,,,,,,,
L_H,,,,,,,,,,,,,,,,,,,,,,,,,,
