,comgro/size,comqual/size,comval/size,mom/size
LOW,0.0026668208221728405,-0.004793289620671239,-0.0227309729342009,0.007290936671039736
HIGH,0.04211067735639707,0.029944521182082212,0.013641245241379003,0.0045081418675113755
