,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn,fpe,fpb,pe,pb
tstat,0.12531003737688845,0.5059096302558723,0.6059112790669151,0.8692802400222004,0.9287809409023664,0.035488548828521115,0.6234516261815426,0.5460010391849667,0.8424046211898186,0.978516927973344,0.06422213583363705,0.6569159243779439,0.15695119164995253,0.15695119164995253,0.1762107221892115,0.7512898419222946,0.9905821546798662,0.4769099956165085,0.9230205632800516,0.865406232466949,0.3286134371709474,0.6953830797669519,0.7773893034566434,0.119080072508471,0.7663074606422327,0.781978075739644
significance,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
