Date,comgro
1990-10-31,-0.020866549931078296
1990-11-30,0.11703263802602268
1990-12-31,0.08725918666602615
1991-01-31,-0.02169875977237401
1991-02-28,-0.07131468907273371
1991-03-31,-0.026653281802247353
1991-04-30,0.0383341431138128
1991-05-31,0.019877303407274807
1991-06-30,0.03850160823984482
1991-07-31,0.06456913993200358
1991-08-31,0.033845508760732404
1991-09-30,-0.01937274752137043
1991-10-31,0.04779704814039755
1991-11-30,0.10302367590199121
1991-12-31,0.20314597654989033
1992-01-31,0.12343370770361096
1992-02-29,-0.023565286364108512
1992-03-31,-0.06401507206001471
1992-04-30,-0.09693182756674257
1992-05-31,-0.24895165863924593
1992-06-30,0.02427141591366315
1992-07-31,0.026997687174248674
1992-08-31,0.09240965424786683
1992-09-30,0.052621385906768466
1992-10-31,0.0426889466837751
1992-11-30,0.13944968593593002
1992-12-31,0.008553892452999803
1993-01-31,0.08770238816146207
1993-02-28,-0.04541740951497991
1993-03-31,-0.10892242102696435
1993-04-30,-0.021426555410641757
1993-05-31,-0.08216917087809283
1993-06-30,0.1726117898405324
1993-07-31,0.01853646071549174
1993-08-31,-0.1145829406019218
1993-09-30,0.09308016945927439
1993-10-31,0.04711559435507931
1993-11-30,0.08439774685739064
1993-12-31,0.037231862109712306
1994-01-31,-0.03952674674644195
1994-02-28,-0.0025546090931980185
1994-03-31,0.18300361884610883
1994-04-30,0.06677519643679376
1994-05-31,-0.01889020039546783
1994-06-30,0.08630968168665076
1994-07-31,0.09665059796091631
1994-08-31,-0.08147859021667224
1994-09-30,0.09438293725996637
1994-10-31,-0.022043801490804406
1994-11-30,0.22659605199075025
1994-12-31,0.18408766335886545
1995-01-31,0.08917544849551863
1995-02-28,-0.040048376222160204
1995-03-31,0.05674607238227924
1995-04-30,0.14409905464724096
1995-05-31,-0.0033564313103617597
1995-06-30,0.10150198294378499
1995-07-31,0.31967078685676853
1995-08-31,0.07117549246153305
1995-09-30,0.1989638059789934
1995-10-31,0.07228640342471644
1995-11-30,0.14118115246974303
1995-12-31,-0.06247971428477905
1996-01-31,-0.1779190776365084
1996-02-29,0.08944770224379484
1996-03-31,0.08100850998855263
1996-04-30,-0.14238185882483073
1996-05-31,0.055731797429012
1996-06-30,-0.018167753585588847
1996-07-31,0.014155638529847447
1996-08-31,-0.02151877793972108
1996-09-30,0.06525587035966292
1996-10-31,0.28920988239780393
1996-11-30,0.12029299279391062
1996-12-31,0.21552660891588576
1997-01-31,-0.07171346497623633
1997-02-28,0.1438506872931754
1997-03-31,-0.2399247661856311
1997-04-30,-0.053827577518638745
1997-05-31,0.11099278390425477
1997-06-30,0.14850689728588234
1997-07-31,0.009289638913994295
1997-08-31,0.14538420614165692
1997-09-30,-0.08060257237160302
1997-10-31,0.0030766476740602617
1997-11-30,0.03690338526391168
1997-12-31,0.013755908580538826
1998-01-31,-0.0854830902275527
1998-02-28,0.13397515388566666
1998-03-31,0.10195071022669862
1998-04-30,-0.04275876449975455
1998-05-31,0.12239375772012286
1998-06-30,-0.0710304344915139
1998-07-31,0.0299167703716488
1998-08-31,-0.02252224700863155
1998-09-30,-0.05780718791507254
1998-10-31,0.049271300588965526
1998-11-30,0.0822753846759664
1998-12-31,0.13921808404816058
1999-01-31,0.2006876739547551
1999-02-28,0.10925949588777
1999-03-31,-0.06782796730545915
1999-04-30,0.045174954307965066
1999-05-31,-0.07239698852120387
1999-06-30,-0.023857558601126972
1999-07-31,0.21925960413150067
1999-08-31,0.1435194291360656
1999-09-30,0.019342213651959626
1999-10-31,0.11352251930796062
1999-11-30,0.209114152138081
1999-12-31,0.11422691852688606
2000-01-31,0.1094207933662978
2000-02-29,-0.006201745357869479
2000-03-31,0.1290762314392505
2000-04-30,0.06522605145190423
2000-05-31,-0.08228761699841983
2000-06-30,-0.012007947866620168
2000-07-31,0.23087406317625378
2000-08-31,-0.1075539936066404
2000-09-30,0.12707064349203523
2000-10-31,-0.017227321079227913
2000-11-30,-0.11256000699000422
2000-12-31,-0.23425058409988328
2001-01-31,-0.022984576120765116
2001-02-28,-0.056195491228931346
2001-03-31,-0.32601720446900284
2001-04-30,-0.11967826745154761
2001-05-31,0.17387833227297358
2001-06-30,-0.13611473208746883
2001-07-31,0.039205142299779686
2001-08-31,-0.09153603027915931
2001-09-30,-0.1219496350928195
2001-10-31,0.11788610846689389
2001-11-30,-0.07643286350932234
2001-12-31,-0.11969766847319442
2002-01-31,0.0998448912335765
2002-02-28,-0.04288405124523151
2002-03-31,0.006939242963632626
2002-04-30,-0.04193922638023231
2002-05-31,0.07479302510443456
2002-06-30,0.057406415271049414
2002-07-31,0.09117537775179688
2002-08-31,0.07187267868952935
2002-09-30,0.047125421847794675
2002-10-31,0.2062924772739391
2002-11-30,-0.0003468021217464071
2002-12-31,-0.12007495555855953
2003-01-31,0.17310615018779676
2003-02-28,0.08079146999871402
2003-03-31,0.135141358814497
2003-04-30,0.15184893656401674
2003-05-31,-0.1220833345033952
2003-06-30,-0.10461962167890575
2003-07-31,0.014967060511880645
2003-08-31,-0.05589914301452614
2003-09-30,0.01898977997694685
2003-10-31,0.05925985215466294
2003-11-30,-0.05295740693205451
2003-12-31,-0.07934507632238276
2004-01-31,-0.11337314014457461
2004-02-29,-0.020018899287549317
2004-03-31,0.045868716980713854
2004-04-30,0.14408692948695562
2004-05-31,0.07753490470132496
2004-06-30,0.04206381347704593
2004-07-31,-0.06276084030422449
2004-08-31,-0.09458057985026325
2004-09-30,-0.0707015037458263
2004-10-31,0.2325926797266795
2004-11-30,0.08381960565512603
