,pe/eps,pb/eps,mom/eps,cfni/eps,art/eps,goodwill/eps,leve/eps,quick/eps,a_turn/eps,pe/sps,pb/sps,mom/sps,cfni/sps,art/sps,goodwill/sps,leve/sps,quick/sps,a_turn/sps,pe/prof_mar,pb/prof_mar,mom/prof_mar,cfni/prof_mar,art/prof_mar,goodwill/prof_mar,leve/prof_mar,quick/prof_mar,a_turn/prof_mar,pe/lgro,pb/lgro,mom/lgro,cfni/lgro,art/lgro,goodwill/lgro,leve/lgro,quick/lgro,a_turn/lgro,pe/roic,pb/roic,mom/roic,cfni/roic,art/roic,goodwill/roic,leve/roic,quick/roic,a_turn/roic,pe/ninc,pb/ninc,mom/ninc,cfni/ninc,art/ninc,goodwill/ninc,leve/ninc,quick/ninc,a_turn/ninc,pe/cfo,pb/cfo,mom/cfo,cfni/cfo,art/cfo,goodwill/cfo,leve/cfo,quick/cfo,a_turn/cfo,pe/cf,pb/cf,mom/cf,cfni/cf,art/cf,goodwill/cf,leve/cf,quick/cf,a_turn/cf
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
