,comgro/pe,comqual/pe,comval/pe,mom/pe
LOW,0.012472021555083061,-0.018178063234316227,-0.08065320334701281,-0.004652521341912016
HIGH,0.04226523248018155,0.013908884292039143,-0.029730304943645723,0.01752365724471292
