,comgro/size,comqual/size,comval/size,mom/size
LOW,0.1372738750977818,0.12298902049952246,0.11580683102943529,0.1957663920101943
HIGH,0.16347237435806075,0.14389935729193332,0.1376577225712305,0.2270350188223975
