Date,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
1990-03-31,,,,,,,,,,,,,,,,,,
1990-04-30,,,-0.3068614203969164,,,,,,0.03389543287897693,-0.1630631026776025,,,0.35305599548341093,,-1.0,,,-1.0
1990-05-31,,,0.4550879131037029,,,,,,-0.18998357734986213,-0.27426700214612376,,,0.28361366659984716,,1.0,,,-1.0
1990-06-30,,,-0.4535318454389758,,,,,,0.4690374693673798,0.19908578562245086,,,0.29224771145868217,,-1.0,,,-1.0
1990-07-31,,,0.3746494145614437,,,,,,0.01666456108310563,-0.09676768794029564,,,-0.374635989465706,,-1.0,,,1.0
1990-08-31,,,0.32983541776588055,,,,,,-0.31719943461962563,-0.14933905049465154,,,-0.5565191087825168,,1.0,,,1.0
1990-09-30,,,-0.21163019068818117,,,,,,-0.037699525225069246,0.314672422925865,,,0.10152341369739684,,-0.9999999999999998,,,1.0
1990-10-31,,,0.09811219219282138,,,,,,0.48310422947200676,-0.5630190067461206,,,0.05088066764854893,,1.0,,,1.0
1990-11-30,,,0.26291405158055053,,,,,,-0.40467296103033623,0.20469793468222955,,,-0.12856138638029657,,1.0,,,-1.0
1990-12-31,,,-0.15526819854588808,,,,,,0.4520256824220512,-0.1449878377131148,,,0.23353602644771898,,-1.0,,,0.9999999999999999
1991-01-31,,,-0.037292489851009865,,,,,,-0.49674706597921675,-0.009548347986941928,,,0.42564479756997303,,-1.0,,0.9999999999999998,-0.9999999999999998
1991-02-28,,,-0.1547417375719751,,,,,,-0.4500402161051209,-0.10182448360165314,,,0.16291209343543941,,0.9999999999999998,,1.0,-1.0
1991-03-31,,,-0.6556141013413805,,,,,,-0.20943151501921192,0.0928586894653857,,,0.06429276507438489,,1.0,,1.0,-1.0
1991-04-30,,,0.5718550938486385,-0.31594340254915776,0.18561345970473567,,0.28714327265166806,-0.4672940501697117,-0.23243851418018857,-0.3787337540123334,0.9999999999999998,,-0.08326925673173509,,-1.0,-0.38596361541420837,1.0,1.0
1991-05-31,,,0.6662967246005195,-0.6716499948863226,0.15986851410073277,,0.6641044857663296,-0.24550182717847577,0.40599677803471673,-0.32724064172068607,1.0,,0.5037551764382836,,-0.9999999999999998,-0.32403107385369945,1.0,1.0
1991-06-30,,,0.1745751414641267,0.4353720629976113,0.04820887022017346,,-0.06632589589946125,-0.3282978202057896,-0.00864511978257508,-0.4288123112331016,-1.0,,-0.18739377408811,,1.0,0.11299561431066689,0.9999999999999999,1.0
1991-07-31,,,0.30057036226466965,-0.6704883260160887,0.30381857505709936,,-0.21111007865276643,-0.3660696863138098,0.4734157035105348,-0.30564622180261325,-1.0,,0.5404631964541345,,1.0,-0.6046755875567288,-1.0,-1.0
1991-08-31,,,0.1730928081285264,-0.6978524224829737,0.35384544417410824,,-0.39307276907489436,-0.024434940958758134,0.2562653963714308,0.17209670345545963,-1.0,,0.08996473357221595,,1.0,-0.7013307183329388,-0.9999999999999998,-1.0
1991-09-30,,,-0.003902795556702015,-0.05185823937486602,-0.16988920014597744,,0.4756255422064327,0.2180966359455633,-0.2235068900691587,0.2655549030974719,-1.0,,0.2367932494550612,,1.0,-0.13540475287788448,-0.9999999999999998,-1.0
1991-10-31,,,0.02432467478298307,0.3150636198093088,0.5899582256725704,,-0.02055852185118307,0.06340040363109856,-0.21202569456930148,0.8720155431577113,-1.0,,-0.39323171851088073,,-1.0,0.22550527868490966,1.0,1.0
1991-11-30,,,-0.3661995692172883,0.2939246091092126,-0.016392474631476247,,0.013309422004875487,-0.16936085934439765,-0.5716146506684893,-0.20259300764766477,-1.0,,-0.5567550953518752,,-0.9999999999999998,-0.042921764627020145,-1.0,-1.0
1991-12-31,,,0.5066862070101867,-0.37831585391341155,-0.01190510136860379,,-0.1250853324829059,-0.25646613175169874,0.3461611478498435,0.005840443700921868,1.0,,0.5409826269603926,,1.0,-0.19949604915298086,1.0,1.0
