,eps_pe,sps_pe,prof_mar_pe,roic_pe,ninc_pe,cfo_pe,cf_pe,sg_pe,mom_pe,cfni_pe,art_pe,goodwill_pe,leve_pe,inv_turn_pe,quick_pe,a_turn_pe,eps_pb,sps_pb,prof_mar_pb,roic_pb,ninc_pb,cfo_pb,cf_pb,sg_pb,mom_pb,cfni_pb,art_pb,goodwill_pb,leve_pb,inv_turn_pb,quick_pb,a_turn_pb
L_M,0.314261969780641,0.1885336302772642,0.8351633180030704,0.12819603789441866,0.2193305596793581,0.8030908544883768,0.42746837407746574,0.6315832928922694,0.03878904528870864,0.382992162545739,0.42400539584988506,0.8303576535184445,0.43828577544486047,0.1641478813795823,0.3203892850836301,0.38517605036344593,0.04212977393480853,0.4542082673673532,0.008728236613386018,0.009012275957943124,0.08323054592426095,0.36038475654735636,0.29297744268161385,0.004001922068045111,0.031762912163974324,0.08812283703970616,0.008133412931115603,0.8849538329938991,0.20501368925024993,0.18130442656804416,0.5666991701569353,0.21889699985546987
M_H,0.3317855681657512,0.15083932058606053,0.020835755686507057,0.24561524242870367,0.9555765964793372,0.29019421301645876,0.448960936166258,0.37555029469364176,0.003865770152676125,0.6242173963168507,0.44131244183030216,0.4008456970919274,0.9024887212952666,0.4286500684877511,0.7930718918927226,0.8682090461974532,0.801063728038763,0.40466444146014646,0.32108306910891093,0.8929404556277536,0.16599878335197615,0.938741578324578,0.21626491210855905,0.025718297224298588,0.14763319686749882,0.48628373742813047,0.055948960200341714,0.5583914024744167,0.0011421577051520854,0.8438189718908627,0.05579985813623345,0.7507626457890334
L_H,0.9565205675170656,0.8760254220611731,0.03557933468904618,0.8526896666522648,0.2504336031932662,0.4083219967612415,0.14324638177340376,0.6518682264974766,0.43408306015656684,0.7431223533115534,0.9762130670645157,0.5313236066190932,0.3652356016771827,0.03792287006243785,0.4627138040161052,0.3084542369959171,0.06947067827953936,0.11127074217901982,0.10435858852374523,0.007957647286183422,0.7779543326175506,0.4087338097427452,0.8696382203783064,0.6775618694802604,0.5073543879363897,0.3492920380784478,0.3360892740982334,0.5085572195330543,0.0741993434627953,0.1188480846149742,0.01402577573873611,0.12870301126587594
