,eps_beta,sps_beta,prof_mar_beta,lgro_beta,roic_beta,ninc_beta,gmar_beta,cfo_beta,cf_beta,sg_beta,mom_beta,cfni_beta,art_beta,ar_beta,goodwill_beta,leve_beta,tar_beta,rc_beta,inv_turn_beta,spread_beta,quick_beta,a_turn_beta,fpe_beta,fpb_beta,pe_beta,pb_beta
L_M,0.35575969263954654,0.7835168527014603,0.3235975324823903,0.4034976750773479,0.6894192085491146,0.4174098790267512,0.3168721107253118,0.312745233058931,0.9519507038971359,0.7386235865117562,0.07318493016168795,0.45551794878943885,0.6261051957868637,0.6261051957868637,0.6757550588854451,0.38966097233045227,0.12842698886885343,0.028213916688598788,0.7235839846479555,0.8689142770024061,0.4233296006752669,0.09115501717547454,0.8420306838905762,0.1530111540207546,0.3391835306509382,0.309978628421756
M_H,0.9682989570431683,0.3320203829132612,0.25682322095743465,0.3301459344893125,0.9480826254074632,0.7754469134673341,0.8849577772447595,0.8917159759791156,0.5981997671613546,0.6574992392543588,0.7895383966684937,0.6999022253416896,0.7788289674496253,0.7788289674496253,0.7055744109652079,0.4989692364227488,0.992768566244101,0.31765076220195754,0.662125977457084,0.9558511357948377,0.6075910402005993,0.9059256512283302,0.26980195732546364,0.3687331516470691,0.04952060913365688,0.8118187073361316
L_H,0.3833783139094099,0.2516035963552355,0.8056745803672001,0.9250519846444347,0.7525866892036295,0.2724658727372875,0.34236176272427055,0.2928376160172591,0.567695974736466,0.47135148714897446,0.15332949308798977,0.6687237022335014,0.4533986300468278,0.4533986300468278,0.9512393866618392,0.14883991672158736,0.13373135483749163,0.23750174405666988,0.9513434974926744,0.8468135473849957,0.2560483794262225,0.13879381961076548,0.31256183943485616,0.5975070255316832,0.39634933990357857,0.23112984074711396
