Date,LOW/comgro/pe,HIGH/comgro/pe,LOW/comgro/pb,HIGH/comgro/pb
1990-10-31,0.23549746474450592,0.26872258254756765,0.0399860032017681,0.04333356744524402
1990-11-30,0.058679467205497916,0.28730656018032463,0.016664530775038083,0.19488161013236355
1990-12-31,0.06610572580511795,0.04948975736535028,0.060101897712305404,0.12313903633434096
1991-01-31,-0.06320680907771581,0.010628042617821921,-0.029627953853050296,0.042956103555615306
1991-02-28,0.003579996912434965,0.01649008294357253,-0.006725173834415445,0.04704426805204567
1991-03-31,-0.13526494707562856,0.18234818358396226,0.06141941369307327,0.09743717820624208
1991-04-30,0.07780733442024591,-0.10064545561427177,0.13942910642882164,-0.1471590777795729
1991-05-31,0.08614390978453461,-0.11488557603110548,0.006332954244988701,-0.009258957645725815
1991-06-30,-0.20727126199084706,0.026569620237642234,0.054755468554457745,-0.048866940990698104
1991-07-31,-0.17375943175608155,0.29350488134427005,0.08063865079388263,0.19166198257610684
1991-08-31,0.09489188970096371,0.1791059672900799,0.05277223894632089,0.041783539907248715
1991-09-30,-0.24962820051771056,0.17341604647367825,-0.004272975985115984,-0.004829514252358567
1991-10-31,0.11722987498161866,0.09586149643636135,0.1569907401168283,-0.016681347273451327
1991-11-30,0.13110540894412692,0.4692178311232234,0.17548936345251306,0.26763040837128177
1991-12-31,0.2410062729662528,0.37816348028608165,0.1934699731647712,0.2542566716895582
1992-01-31,0.18984140055787474,-0.22441423327755525,-0.02204835183454178,-0.2467463465332331
1992-02-29,0.1440880383965599,-0.09205380240771484,0.08744006587011888,-0.10060066817656527
1992-03-31,-0.1947302718760127,-0.01044342095490039,0.08660123136620233,-0.14250478376903963
1992-04-30,-0.15694221555331553,-0.4102752702449034,-0.28121532755547485,-0.23076761489832862
1992-05-31,-0.16047882541382016,0.12192109750919065,-0.028826915291568337,0.20773107846847533
1992-06-30,-0.3522249221367533,0.3639060431436883,-0.052765279497112794,0.15609408920596798
1992-07-31,0.0689693588081549,0.0964510960128285,0.029913571104886363,0.047256075821775545
1992-08-31,-0.17274706198493966,0.23370961351350072,-0.08184621214703323,0.12683688459359405
1992-09-30,-0.17941805827998306,0.06223210547651258,-0.3109716887471185,-0.009484584011536717
1992-10-31,0.035400722814527386,0.1480894661281923,0.06360644350261067,0.16370984233132518
1992-11-30,0.05988404395051437,-0.0017271857027812718,-0.020771811181417132,-0.042003238434067905
1992-12-31,0.1847282297392424,0.05906038523750376,0.1258196287452718,0.18369300100150482
1993-01-31,-0.13546282770444124,-0.010316093916790966,0.004320155672590722,0.016615103789671463
1993-02-28,-0.21466912851843112,-0.050899831696181785,-0.08867237306362967,-0.1670462482550674
1993-03-31,-0.09082606590673072,-0.0649689555535114,-0.009369389590793779,-0.12650152674525553
1993-04-30,-0.09430295647797374,-0.28297501368170985,-0.042808288884448945,-0.2135066164057473
1993-05-31,0.09898749553710404,0.0867942951026606,0.12456097682724619,0.22325875855838442
1993-06-30,-0.08483354680215306,-0.07015308855978475,-0.030363197135143124,-0.025834872792496324
1993-07-31,-0.10762675943502999,-0.08959031626045066,0.05690921557345932,-0.18966492279165634
1993-08-31,0.008536420750288475,0.034665091748239896,0.13460940809841065,0.10496122997397898
1993-09-30,0.05307978022004323,0.09117865874864745,-0.1018021934413021,0.22287834534612933
1993-10-31,-0.10961114395450276,0.050261878731964214,0.020794837504687254,0.05282492159207484
1993-11-30,0.12962610332152885,0.005915258578337661,0.015928431204483767,-0.023846085393961772
1993-12-31,0.0628841704191815,0.1297857963975676,0.0833373100438557,0.01974758475037722
1994-01-31,0.03338876337714191,-0.08871190982197454,-0.03537455645634096,0.02013899258422143
1994-02-28,0.1885792582045816,0.2749917001180751,0.31547252023592065,0.16874989150722206
1994-03-31,0.014844489641685528,-0.01438536192576767,0.003224413716594158,0.009342819825953457
1994-04-30,-0.08549506812307875,0.009312763134160174,0.026614578641430568,-0.06471149501944262
1994-05-31,0.05121151450297825,-0.09827408368894047,-0.07739360068637463,0.061425029837986124
1994-06-30,-0.0716703702048905,0.23312478102463463,0.16214301784802962,0.08308924906263263
1994-07-31,-0.19530923990319515,-0.041589163519517525,0.019327607486422697,-0.10578046825499217
1994-08-31,0.06881506628275934,0.08905625330847651,-0.21694620827890157,0.14049360807604477
1994-09-30,0.05893314165240859,0.06285267215453759,0.014981840978435535,-0.08345850284909838
1994-10-31,0.1479414958540896,0.23174562646900654,0.08874571706376884,0.2068418623282207
1994-11-30,0.11101622995307914,0.2861377993267689,0.16040979125073954,0.17370909695523287
1994-12-31,-0.07306960510022038,0.0002573783361108928,0.04984688657945525,-0.1398202748765859
1995-01-31,-0.25311098247423386,0.0006274052721361811,-0.21185676272187576,0.028239865193474715
1995-02-28,0.3988630275602497,-0.1075490368832218,0.23642858979700265,-0.011942921600536152
1995-03-31,0.14419699919347453,0.08867262397320891,-0.013074946368917918,0.17104240272205648
1995-04-30,0.30908895812965703,-0.05638365653194252,-0.07018359110770393,0.12495508487303132
1995-05-31,-0.11183269309538989,0.23480373401019627,0.07186086378956665,0.2609994632990824
1995-06-30,0.2588947454529398,0.4101418638356197,0.2272871602382162,0.35461498265539904
1995-07-31,-0.0626915071016536,0.19044054690645715,0.037019946636594775,0.23881938042894288
1995-08-31,-0.04893037180284277,0.3099171654664461,0.17738037311518978,0.21101471427654983
1995-09-30,0.05774529141785884,0.152176267305596,-0.10886944225144808,0.08910652302677713
1995-10-31,-0.01938912714527292,0.26663077886793896,0.26860499915852054,0.028132954883003103
