,eps/size,sps/size,prof_mar/size,roic/size,ninc/size,cfo/size,cf/size,sg/size,mom/size,pe/size,pb/size
LOW,0.9774467485943615,1.0187748451918415,0.5005103829405987,0.48454990044121465,0.47784102137593276,0.5251246129082631,0.3878171945817419,0.5153653929008654,0.6781546747522048,0.44499798744725194,0.3778548237392078
HIGH,0.9762091410886976,1.01015863339558,0.4720856287193832,0.5625029356003718,0.503055878947396,0.5219928868517165,0.44714561257486046,0.6083815409388524,0.7864723753954976,0.5176693481665008,0.489108037323533
