Date,LOW/comqual/size,HIGH/comqual/size
1991-07-31,0.046126956371931184,-0.15869982029460383
1991-08-31,0.035981817484397695,-0.1090552039113101
1991-09-30,-0.047686057362637535,0.14843750819252735
1991-10-31,0.0324697047796023,0.182510932506983
1991-11-30,-0.07892046140643304,0.07853521383992003
1991-12-31,-0.23253978222834068,0.06314094724788505
1992-01-31,0.07436560111506535,-0.23213861119758017
1992-02-29,-0.116287807647606,-0.012462450143806406
1992-03-31,0.07202894008054873,-0.1690049083029756
1992-04-30,-0.1285430408748076,-0.03413622451537095
1992-05-31,-0.015271802142793821,0.18519495307825867
1992-06-30,0.15293585587481429,-0.026363368105576414
1992-07-31,-0.10152258156938901,0.001567793464673947
1992-08-31,-0.020234227746643695,0.12808296978686926
1992-09-30,-0.005876250306257247,0.021678484002020028
1992-10-31,0.024929438768606822,0.040336909101625684
1992-11-30,0.1555081369376465,0.1256973096445189
1992-12-31,0.08323816068732272,-0.045326886115432195
1993-01-31,0.11908023815528704,0.17252373434386792
1993-02-28,-0.18398220642280247,-0.24996417619754963
1993-03-31,0.05454556706776421,0.006564302350420871
1993-04-30,0.12352506840966922,-0.28948511593572124
1993-05-31,-0.11609841618131979,-0.07536658889953417
1993-06-30,0.044785086461950584,-0.199442919348797
1993-07-31,0.0499381186303243,-0.15172140032117423
1993-08-31,0.013537655108709858,-0.20600968180207954
1993-09-30,-0.21101802376830284,-0.10708097783346235
1993-10-31,0.04066721773687106,0.12866454023363313
1993-11-30,-0.003194020201153291,0.18018444970567632
1993-12-31,-0.06685203015013393,-0.13375116112916957
1994-01-31,-0.03308240147523282,0.051387284444457566
1994-02-28,-0.024045848225092935,0.17812825112879244
1994-03-31,0.17011377718407966,0.06103599475312786
1994-04-30,0.08438476232719898,-0.14044780123026399
1994-05-31,-0.025452771812383035,-0.044524615046344675
1994-06-30,0.0798868189226524,0.05167536092404613
1994-07-31,-0.18634242615151406,-0.1418369978748013
1994-08-31,0.09497002136056283,0.07227400430071744
1994-09-30,0.12000297916475178,0.02158493623534836
1994-10-31,0.01123141444787802,0.08793936778029507
1994-11-30,-0.024151855704464556,-0.0022523258950635098
1994-12-31,-0.10800566516539188,-0.1985869592403839
1995-01-31,-0.15535309173747816,-0.09161035206339653
1995-02-28,-0.08806375167498147,0.028141783376633322
1995-03-31,-0.021654607086064738,0.12601520178142006
1995-04-30,-0.1812360973742915,0.12693797018504052
1995-05-31,-0.052402655655569966,-0.1774356346324177
1995-06-30,-0.03970096354416521,-0.004635801540675491
1995-07-31,-0.05682349343391024,-0.12030202092144383
1995-08-31,0.011934209246188602,-0.1895649470867501
1995-09-30,-0.006771659629719188,-0.037780024986615424
1995-10-31,-0.002257903945590947,0.0787063195036442
1995-11-30,-0.04906928405901921,0.032422881544831285
1995-12-31,-0.011121626874542661,-0.016932612318607678
1996-01-31,-0.15687774220312906,0.10551745940435427
1996-02-29,0.11406019937218209,-0.01197293318921823
1996-03-31,0.09477742878693653,0.2174738965088956
1996-04-30,0.04365171088778833,0.17710592867229302
1996-05-31,0.06933929029047885,0.17786900869182587
1996-06-30,-0.0041280762264793896,0.051956584931166366
1996-07-31,0.1820742882040074,-0.04531965962518074
1996-08-31,-0.07713030665573273,0.27170653934494593
1996-09-30,-0.18053431227273595,0.058400577767274336
1996-10-31,-0.06417401885853509,0.07735877709082123
1996-11-30,-0.10962671543547516,-0.2109017875330049
1996-12-31,-0.013507115306770527,0.06529928959927284
1997-01-31,-0.12562594093227933,0.09230025441068929
1997-02-28,0.21085459741567508,-0.11140058583179133
1997-03-31,0.06453991435124462,0.18880855573442068
1997-04-30,0.05200346336349641,0.026108134389062877
1997-05-31,-0.02643230544611982,0.07290490005371067
1997-06-30,-0.032220521112349604,0.14943207244077925
1997-07-31,-0.17109163855431095,0.043202590484634214
1997-08-31,0.14239872158198486,0.04732759482610015
1997-09-30,0.10473944451910358,0.03129214014541814
1997-10-31,0.0742042655818719,0.062322492604192724
1997-11-30,-0.0026737730185454195,-0.15333994390531117
1997-12-31,-0.045464445445511634,-0.29543863401330683
1998-01-31,-0.011560251428975946,0.23553884457855861
1998-02-28,-0.001161003602477058,0.06111272934962764
1998-03-31,-0.041927499362034215,-0.012207960366035409
1998-04-30,-0.15712824191128896,0.011291295166699017
1998-05-31,0.09829991208147028,0.11240817550079063
1998-06-30,0.09437878039539425,0.157411073686572
1998-07-31,-0.08645209204927794,-0.01211089199411661
1998-08-31,-0.08189969513334851,-0.06752756556800787
1998-09-30,-0.2182288234715458,-0.23054507241623073
1998-10-31,-0.09567517000706457,0.0942336522203054
1998-11-30,0.16749324588405043,0.07332213460166427
1998-12-31,0.026891444640999042,0.12213005540215674
1999-01-31,0.053865362773920435,0.06413057523389223
1999-02-28,0.07045405434592536,-0.055208426279327934
1999-03-31,0.0825260227980855,-0.06833117681399657
1999-04-30,-0.10003801094521077,-0.10906519565665868
1999-05-31,0.014939065944222337,0.06988547262521518
1999-06-30,0.037794863556134366,0.01358589105437391
1999-07-31,-0.20510910747217437,0.0746482330861604
1999-08-31,0.09014132136407502,-0.095609840310213
1999-09-30,0.25493342231605964,0.2790118689088031
1999-10-31,-0.1314057898452872,-0.18789632228210104
1999-11-30,-0.11383150346619955,0.16143585372247823
1999-12-31,0.14131907592760146,-0.044607539922602524
2000-01-31,-0.13584342087435022,-0.054352362846226576
2000-02-29,0.17805544611337312,0.11227959653919205
2000-03-31,-0.13899864536840678,-0.08951558795618561
2000-04-30,-0.04296811778409527,0.08114172797228125
