,comgro/pe,comqual/pe,comval/pe,mom/pe
LOW,0.1618465046358257,0.13121606704355504,0.12444145263826918,0.21674517739088334
HIGH,0.17332536225284884,0.1245970013996472,0.12348347481776492,0.22844421174047866
