,eps/beta,sps/beta,prof_mar/beta,roic/beta,ninc/beta,cfo/beta,cf/beta,sg/beta,mom/beta,cfni/beta,art/beta,goodwill/beta,leve/beta,quick/beta,a_turn/beta
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
