,eps,sps,prof_mar,roic,ninc,cfo,cf,sg,mom,cfni,art,goodwill,leve,inv_turn,quick,a_turn,pe,pb
p,0.3197589908563961,0.3370493977139225,0.7423409957405099,0.8578678668497235,0.06402583301588198,0.4857239957319468,0.7740979504751856,0.14896268400807583,0.7108912191254035,0.8238142083597748,0.22450932587479794,0.7912773360818799,0.7846838445379708,0.09547091048675498,0.8350126505346852,0.21838434331215265,0.8668320055746405,0.6130584109496685
significance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
