,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn,fpe,fpb,pe,pb
tstat,0.22644921152242603,0.507513172525696,0.7749657200940797,0.16155495710758616,0.20404903538119745,0.32969953734518387,0.3603592460237014,0.11817179212702851,0.013170978126160648,0.20130690715398497,0.7929360691217334,0.2077752896509339,0.03457047780411243,0.03457047780411243,0.1605533674619006,0.47165364194621506,0.9178715935137572,0.17455177328550495,0.4396811148931582,0.5962178866803581,0.2657076491730769,0.137675169937411,0.042680833307470946,0.6811403001795324,0.08919738647304987,0.883106725134424
significance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
