,eps/size,sps/size,prof_mar/size,roic/size,ninc/size,cfo/size,cf/size,sg/size,mom/size,pe/size,pb/size
LOW,0.01974887,0.018478558,0.028920644,-0.003642794,0.021324286,-0.020061471,0.014578097,0.000679096,0.007290937,-0.020825622,-0.016023741
HIGH,0.051852122,0.062224529,0.020877592,0.022167574,0.023144333,0.023886112,0.009830717,0.027263821,0.004508142,0.017394787,0.009175908
