,eps_size,sps_size,prof_mar_size,roic_size,ninc_size,cfo_size,cf_size,sg_size,mom_size,cfni_size,art_size,goodwill_size,leve_size,inv_turn_size,quick_size,a_turn_size,pe_size,pb_size
L_M,0.9562104297737237,0.9698778293393299,0.055215280806070494,0.2186769931054827,0.1641515539788106,0.025153794472161543,0.9529584521090881,0.266519656313764,0.47725474669776646,0.46057037562430747,0.8026012500627164,0.9909621848165435,0.8834650314920385,0.8866842604909208,0.4501412668010917,0.4098982991928848,0.11525050638411896,0.2560536604244585
M_H,0.08101601018416119,0.03266624977866942,0.15339964977443332,0.29720167533798403,0.11858562736428119,0.14781756904602267,0.6582721807067895,0.3601027431917494,0.5550582798888486,0.13128773533125446,0.6541446257339663,0.5911335649797874,0.03234476273513852,0.9955473095348024,0.02487825244736744,0.6228971065012439,0.8001914867275692,0.5522236296124905
L_H,0.11860467451928786,0.042802962760716254,0.5823296228652703,0.031659290951099796,0.8231349389342151,0.00044996113416134726,0.6195357361572902,0.04172682785501256,0.9437879933548627,0.4315433255533846,0.48882938661805575,0.6079505675463885,0.023478680913023846,0.8926770825894139,0.0020142173878037765,0.2100454661464367,0.06704616282738061,0.10740211199948063
