,eps_inv_turn,sps_inv_turn,prof_mar_inv_turn,lgro_inv_turn,roic_inv_turn,ninc_inv_turn,gmar_inv_turn,cfo_inv_turn,cf_inv_turn,sg_inv_turn,cfni_inv_turn,art_inv_turn,ar_inv_turn,goodwill_inv_turn,leve_inv_turn,tar_inv_turn,rc_inv_turn,fpe_inv_turn,fpb_inv_turn,pe_inv_turn,pb_inv_turn,eps_spread,sps_spread,prof_mar_spread,lgro_spread,roic_spread,ninc_spread,gmar_spread,cfo_spread,cf_spread,sg_spread,cfni_spread,art_spread,ar_spread,goodwill_spread,leve_spread,tar_spread,rc_spread,fpe_spread,fpb_spread,pe_spread,pb_spread,eps_quick,sps_quick,prof_mar_quick,lgro_quick,roic_quick,ninc_quick,gmar_quick,cfo_quick,cf_quick,sg_quick,cfni_quick,art_quick,ar_quick,goodwill_quick,leve_quick,tar_quick,rc_quick,fpe_quick,fpb_quick,pe_quick,pb_quick,eps_a_turn,sps_a_turn,prof_mar_a_turn,lgro_a_turn,roic_a_turn,ninc_a_turn,gmar_a_turn,cfo_a_turn,cf_a_turn,sg_a_turn,cfni_a_turn,art_a_turn,ar_a_turn,goodwill_a_turn,leve_a_turn,tar_a_turn,rc_a_turn,fpe_a_turn,fpb_a_turn,pe_a_turn,pb_a_turn
L_M,0.10156642406765197,0.2808623941591207,0.8600340176417192,0.16106646578391157,0.31356791133848955,0.5479454748161392,0.27145950710473127,0.508944906764029,0.08811235107015945,0.23207391360252547,0.14064340056116614,0.15892783293307458,0.15892783293307458,0.12548935489922977,0.7197193046725837,0.019542888342238565,0.05042123629372924,0.856006096865052,0.24077037091939266,0.42801677666988347,0.6568381246751133,0.40644503561012424,0.6225792966254454,0.9936230369974082,0.9350190275447929,0.8767690614576263,0.32076731310588585,0.31404787438967546,0.7691331950507154,0.3357753990728253,0.9615751544256396,0.2801438889907601,0.9662355255108949,0.9662355255108949,0.3893452623835393,0.5853713700604359,0.0821221031382368,0.05482821503215985,0.21581698652476897,0.19597691026780859,0.03963343952649651,0.16304123651372174,0.6901571960836372,0.3742295230603089,0.7371881322178824,0.7374192535009519,0.03869259330070945,0.7731746051091265,0.2538496213626767,0.19890045808318013,0.1921749908496246,0.2260439807191244,0.7544409277383038,0.2773884622295219,0.2773884622295219,0.7088126006544324,0.7315742561722594,0.512791365818797,0.20972327191032342,0.8204637924001519,0.16058081911665814,0.8376574353848792,0.4502777625847425,0.9667320060890069,0.55192654228575,0.16227475754438922,0.9088493144632359,0.7891333532899398,0.08742869349486446,0.10967894671125425,0.3136791772562454,0.4320221069553487,0.308099421532299,0.6602157835902027,0.868076358956166,0.868076358956166,0.05915974184820606,0.32933572953402424,0.34625437384390845,0.08480215331039577,0.02758055935863047,0.032032480539687415,0.6063357770582607,0.44342741384250406
M_H,0.0367775186079049,0.30302488977758335,0.5710473915503095,0.7662709125035796,0.5022276447670486,0.8106757155034531,0.9616660586665293,0.16639750714155188,0.6567921366285503,0.9721108190330896,0.4345363212276391,0.8756763887595037,0.8756763887595037,0.5424166105419483,0.3111606691031052,0.4215105781013231,0.8371295318518035,0.5720982681909177,0.18417011571619782,0.11709446010066699,0.831141671408202,0.7013405289398176,0.3235851712613961,0.23649598142468026,0.7617422544913093,0.3020282755754512,0.6938454416608353,0.5849770676346536,0.3343119279497806,0.35250493365561386,0.9098574786557733,0.3090632133424788,0.9549099932402868,0.9549099932402868,0.47005634138131924,0.24717045457676612,0.024669247574100148,0.05768763467036354,0.21410152270028765,0.9543194525836466,0.2830926032890384,0.4713123221868756,0.38740974871668,0.852577806087307,0.7124740259053142,0.41548544661646714,0.19824719369946903,0.24301681662974214,0.3154466257057237,0.2565032098459415,0.4730396862382238,0.40133315786675594,0.43146910526146376,0.5978693273872273,0.5978693273872273,0.2597900276532586,0.7209368708815567,0.042887999051342364,0.19682324967314452,0.8885529802711344,0.4345356343071296,0.9802544498259902,0.7832229288682286,0.5972390151162408,0.16822595436885904,0.5203151844362186,0.5721071983619717,0.47701431831210084,0.42161296907876766,0.03959486820747874,0.7384536855376896,0.3274842657433388,0.9396162693098031,0.008303924835426755,0.6163736416283125,0.6163736416283125,0.1691795199545442,0.8250088401207507,0.25248416712259547,0.2784175975705732,0.049101537435678654,0.3165897892799779,0.9146702347774405,0.07311064254471022
L_H,0.6008054251728103,0.941935652953648,0.6718327624551999,0.23271629381480186,0.7826251797566056,0.40797323415418496,0.2102856158793268,0.41619214836315166,0.028141111320282415,0.20737659175660078,0.4591192906367463,0.19328446712439193,0.19328446712439193,0.39936508657929526,0.1964788905130719,0.12111148742973013,0.02619402175420031,0.45162294363173483,0.027476403078672353,0.5101116659330321,0.5139290974964267,0.2237903384210805,0.11374871463817106,0.1997456064836945,0.832396780936121,0.34337614569249886,0.5132482353911096,0.6413208168215623,0.45391597123286187,0.9837987147794619,0.9472356918805355,0.928366415159469,0.9173041554697317,0.9173041554697317,0.10837241790364216,0.5388314707956559,0.677421273284968,0.9741125923303479,0.9607786053895674,0.1412720724010613,0.43894837743559945,0.03410758180518838,0.5974802677038535,0.5387820727354298,0.9890689910771253,0.6731276210410857,0.5266985264223398,0.13767783670224806,0.8058708051362335,0.02165624699394974,0.5652238370358773,0.7782538190267585,0.2883564288360416,0.5178129672283966,0.5178129672283966,0.45064728060886583,0.9759375951005831,0.013117930494377917,0.018992018317650666,0.7392343790564366,0.042129067947583324,0.8503408398936867,0.33943676360584374,0.5566586085014675,0.479784903531451,0.049887378661237144,0.7031997147001068,0.3280433199448969,0.30578540311720187,0.9132461216634931,0.5218163700561942,0.8351807576793762,0.2780577398212237,0.044155184521425424,0.5805921260882425,0.5805921260882425,0.5660508820703509,0.40850976562052865,0.9480700900928579,0.007618135671365846,0.7925857798967046,0.22417809492678661,0.7216069255592763,0.354436486811173
