,pe/eps,pb/eps,mom/eps,cfni/eps,art/eps,goodwill/eps,leve/eps,quick/eps,a_turn/eps,pe/sps,pb/sps,mom/sps,cfni/sps,art/sps,goodwill/sps,leve/sps,quick/sps,a_turn/sps,pe/prof_mar,pb/prof_mar,mom/prof_mar,cfni/prof_mar,art/prof_mar,goodwill/prof_mar,leve/prof_mar,quick/prof_mar,a_turn/prof_mar,pe/lgro,pb/lgro,mom/lgro,cfni/lgro,art/lgro,goodwill/lgro,leve/lgro,quick/lgro,a_turn/lgro,pe/roic,pb/roic,mom/roic,cfni/roic,art/roic,goodwill/roic,leve/roic,quick/roic,a_turn/roic,pe/ninc,pb/ninc,mom/ninc,cfni/ninc,art/ninc,goodwill/ninc,leve/ninc,quick/ninc,a_turn/ninc,pe/cfo,pb/cfo,mom/cfo,cfni/cfo,art/cfo,goodwill/cfo,leve/cfo,quick/cfo,a_turn/cfo,pe/cf,pb/cf,mom/cf,cfni/cf,art/cf,goodwill/cf,leve/cf,quick/cf,a_turn/cf
L,0.6930582011158107,0.6769555483261664,0.09050321505275415,0.5827114149470758,0.15935708596072432,0.7935259318800836,0.4345044756262436,0.7194003452065483,0.15223509589697468,0.8588787762970329,0.22755092015441364,0.6522385961956112,0.2758295451524156,0.46867248107055814,0.8083993118707754,0.3285037106908998,0.31755911828961697,0.8534081570177039,0.9426523466905808,0.4480321018647785,0.6419372378999528,0.3987944386120389,0.17458376704078987,0.1444183649648621,0.7296281511185755,0.14401103096026668,0.036694975555273034,0.29971475973183487,0.7418541062698818,0.5842947140124964,0.26511777393401453,0.5808306952991833,0.7736538588729249,0.36133244618764326,0.4546013458819165,0.5373685490327481,0.8514303603408573,0.4279611565324061,0.7895878311320756,0.04406647739609864,0.3064924531166446,0.7198455190463302,0.7665178560804832,0.6143918775999844,0.7400969225840515,0.30507293344453995,0.5804034554891275,0.5903215642444707,0.6463398123148931,0.36749534476253853,0.9107849348324873,0.2268130488984394,0.9281957945508926,0.20768310122930572,0.5574645666758026,0.5287262043141395,0.9066775440634467,0.65891563775977,0.7256445963077678,0.9514696278345055,0.5393739668625394,0.5123069676254575,0.14868510311302136,0.5878968945593035,0.07872721682687168,0.9142067704443696,0.016292353958638626,0.6909804409885852,0.44140237342283817,0.5149719554413648,0.48426204015102536,0.9016891127900495
H,0.5357865746809367,0.8625016975074289,0.8384262660199415,0.8434128555083515,0.11783060355628866,0.260646692523004,0.6656254059473904,0.377712127838586,0.015370669288423558,0.3529928241589577,0.258758268360263,0.7793248394505045,0.38834463339505376,0.14983698887059196,0.1354405578864214,0.8934722442128549,0.587636912989142,0.18958525740998536,0.8066792893039395,0.5046930741100313,0.6142611289745079,0.6233727546235441,0.5695034048179881,0.19408094425055356,0.8059643371192281,0.5595701405612108,0.5415716453170349,0.6575614683278663,0.6830158082907303,0.8860676326242242,0.15706348186552743,0.9226315534339894,0.9977653475188017,0.371471543275277,0.6737337871532473,0.29644817923049555,0.3827654922093304,0.8076125927197607,0.5634750953476642,0.3331206077227078,0.5516663648232834,0.8221345318758917,0.965270599665208,0.9715484046160017,0.1852318680901753,0.66951207814849,0.529961756911272,0.614756695942127,0.5562501210334094,0.9358053844885236,0.43319565546534,0.4525890408507143,0.7011682155423333,0.7380993798358196,0.9585483830066409,0.9030787621158398,0.6816347138353027,0.8338843710614056,0.6655298430621209,0.7857038374350321,0.9219968828267007,0.6933839396306042,0.3690369882909671,0.803365718634898,0.24124196992560829,0.9948602866933479,0.7373037717572766,0.789468477900223,0.44247966838678743,0.8023319600586851,0.6586342690178761,0.6592700794632632
