,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn,fpe,fpb,pe,pb
tstat,0.39231650708095334,0.6165159874016415,0.9772007724316917,0.4507811347229105,0.5362752110764715,0.9169667529122423,0.860755310108496,0.3652373166189603,0.9552387395598911,0.7225179178330907,0.5616015489156196,0.3065494863234622,0.8461586396020006,0.8461586396020006,0.6961712657108404,0.8232373709126639,0.8233317404451619,0.14175191635164328,0.12792931614503714,0.6384248474447858,0.9632536557393009,0.4250824536219784,0.42303487948886065,0.6405819953146248,0.4332474080305285,0.7296050208655233
significance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
