,eps/size,sps/size,prof_mar/size,roic/size,ninc/size,cfo/size,cf/size,sg/size,mom/size,pe/size,pb/size
LOW,0.282164572,0.294094966,0.144484902,0.139877508,0.137940821,0.151590418,0.111953181,0.148773174,0.195766392,0.128459854,0.109077292
HIGH,0.281807305,0.291607679,0.136279382,0.162380611,0.145219724,0.150686367,0.12907982,0.175624623,0.227035019,0.149438269,0.141193329
