Date,LOW/comqual/beta,HIGH/comqual/beta
1991-07-31,0.0060375888138117905,-0.1346174751116083
1991-08-31,-0.05888576243604224,-0.10879105676263345
1991-09-30,-0.2209867561472376,0.0063698438733008666
1991-10-31,0.08486799464323502,0.08771125846169164
1991-11-30,-0.05039407304230323,0.018257044833266747
1991-12-31,-0.2559120696971195,-0.014292400794161945
1992-01-31,0.20876335807857838,-0.18549243388283043
1992-02-29,-0.018682187153247053,-0.1039359123037942
1992-03-31,0.16821742939881335,-0.07088747901694105
1992-04-30,-0.19461307294448912,-0.060745755242427875
1992-05-31,0.03290840838690041,-0.07046319282845198
1992-06-30,-0.010817728739317157,0.03032518731416518
1992-07-31,-0.05430567685082417,0.011690422067550674
1992-08-31,-0.03479247527800357,-0.1490317550168391
1992-09-30,0.02075608009559186,-0.1251025002366812
1992-10-31,-0.008198175933832928,0.14342040566879077
1992-11-30,0.2171442877767769,0.197036593320405
1992-12-31,0.08881925658514958,0.00971515448322419
1993-01-31,0.10350361355898194,0.15758359476413136
1993-02-28,-0.07763750402695563,-0.08494275437328368
1993-03-31,0.018554629634333276,-0.006294658718709595
1993-04-30,0.13415266425379335,-0.029625123795354483
1993-05-31,0.046249917384919535,0.056886683087088004
1993-06-30,-0.0685273698768844,-0.0751968338113916
1993-07-31,0.08263263295988285,0.032193502830680766
1993-08-31,0.04444458880671477,0.04362313392934596
1993-09-30,-0.2937293732350538,-0.011208527565817743
1993-10-31,0.06305281962322981,0.005940351134951489
1993-11-30,0.09348761343251252,-0.027392798686176546
1993-12-31,-0.15257685058419085,0.1358652256604867
1994-01-31,-0.06410528365245019,0.07637209681073738
1994-02-28,0.14619999884835994,0.11208473463250897
1994-03-31,0.09823913793215278,0.026541568727924965
1994-04-30,-0.007263956535028456,-0.034132632261304946
1994-05-31,0.06146265099809384,0.14624478246095268
1994-06-30,-0.033479042761675404,0.1708513185678743
1994-07-31,-0.16488872128702298,-0.2373222161521192
1994-08-31,0.08944704162987303,-0.03125001009745499
1994-09-30,0.19850098201756478,-0.1448409830333524
1994-10-31,-0.04989353133062593,0.051763127897556785
1994-11-30,0.02226077319396888,-0.009976080725574302
1994-12-31,-0.061981726996588556,-0.09998783453039725
1995-01-31,-0.2403195100360124,0.043373772097223345
1995-02-28,-0.12020434940174442,0.10632716983652722
1995-03-31,-0.004171203487360478,0.0019068684636870112
1995-04-30,-0.2214599937559186,-0.03790701091110821
1995-05-31,0.010575535706203731,-0.10416720943095976
1995-06-30,-0.09732564422574308,0.01705432626853215
1995-07-31,-0.030287031026720763,0.03130138364896309
1995-08-31,-0.01784560328758623,-0.08954861003336372
1995-09-30,0.03748456628829352,-0.3258175574419346
1995-10-31,-0.0017637713693352645,-0.13362284310622155
1995-11-30,-0.010763900412112268,0.01482396099977585
1995-12-31,0.04116950520380767,-0.0756114942469726
1996-01-31,-0.1166736909772169,-0.040073728325473776
1996-02-29,0.019863996199532555,0.10892470785796864
1996-03-31,0.10116653925217718,0.2603380209156691
1996-04-30,0.07340962590627897,0.1911813582053615
1996-05-31,0.2008874244888349,-0.10749892656977315
1996-06-30,-0.05960178323581281,-0.14030348417497934
1996-07-31,0.048347650100345654,-0.013028145095584831
1996-08-31,0.11279813173239109,0.12064237995813083
1996-09-30,-0.21677056788614174,-0.12394845986106305
1996-10-31,-0.07980898046800204,-0.0007528948143550885
1996-11-30,-0.11350906730571489,0.035159669128184384
1996-12-31,0.005791328992760166,0.0028247198479256913
1997-01-31,-0.12097149656462851,-0.03592314281828444
1997-02-28,0.32100202387243715,-0.06780305404304816
1997-03-31,-0.008221376875182696,0.07302299110028988
1997-04-30,0.07274783611485665,-0.031390518882901536
1997-05-31,0.03098427613249588,0.11639519358650759
1997-06-30,0.15323993422614557,-0.007988981841448051
1997-07-31,0.09285006871681387,-0.04832293710098666
1997-08-31,0.03527616456330849,-0.015811818760916446
1997-09-30,0.05638498367578335,-0.0052607115502488755
1997-10-31,0.21208884102551415,-0.08455870046407467
1997-11-30,0.18649526024412263,-0.14889102400860296
1997-12-31,-0.018053706798277686,-0.08162175537216466
1998-01-31,0.3047285361749112,0.07679689889917857
1998-02-28,0.2674797836375759,-0.022060841534214545
1998-03-31,0.1446800142947909,-0.041248266430712735
1998-04-30,0.03895933601362128,0.0015884437168426518
1998-05-31,-0.05312398228281842,0.009318113421806683
1998-06-30,-0.016877448402859777,-0.05015356160429856
1998-07-31,-0.09800557939493733,-0.13051489288962967
1998-08-31,-0.19715138023135387,-0.0853120681865109
1998-09-30,-0.07741053492981294,-0.20293675641639775
1998-10-31,0.11522108925940881,-0.024088125677183297
1998-11-30,0.0915672037506136,0.04429324688103879
1998-12-31,0.06959196778645986,0.04062341264579824
1999-01-31,0.08810804291708399,0.09702199021696141
1999-02-28,0.15171632343458155,-0.15171571498113612
1999-03-31,-0.018525276889396657,-0.05631402235890312
1999-04-30,-0.2035735251255142,0.07697712001515747
1999-05-31,0.0368118929742562,0.025245920916857047
1999-06-30,0.03801422132604454,0.1035989629616349
1999-07-31,-0.19037001749655302,-0.04479064671443269
1999-08-31,-0.0960563768551989,-0.04054016468918356
1999-09-30,0.3592565206269568,0.07650988104335478
1999-10-31,-0.18361202606187052,-0.3184904192474134
1999-11-30,0.1350019089986701,0.1772536250874665
1999-12-31,-0.014867918546859673,-0.011626024486241629
2000-01-31,-0.22807417573386296,-0.036431323630581686
2000-02-29,0.11439830609559809,0.13138430817892768
2000-03-31,-0.015820712481403664,-0.1123318636800714
2000-04-30,-0.02895499745907694,-0.03634870334807083
